ticker,date,title,summary,url
BIDU,2018-01-03,BlackBerry shares higher on role in Baidu autonomous driving project | CBC News,CBC,https://news.google.com/rss/articles/CBMigwFBVV95cUxPb0NoUXF2Q0VQOWR3aldVRG5Mb1FtUlFkcXJoVlNkeGVhYTllLXJhTDVReTU3eFl2aTdQTGd6WWNOMXpvb1BhQjAwOWVKQ3ZiTzE3SHlpZnpPYnRMOXZKcERUS2RYVWp1ZzVKS3JHWG03TUw5SjRfRlhsbTBrUzdFeHk4UQ?oc=5
BIDU,2018-01-08,"Nvidia is partnering with Uber, Volkswagen and Baidu on driverless cars",cnbc.com,https://news.google.com/rss/articles/CBMisAFBVV95cUxOckhpc2hKOVhjdzlTS2Y4d3JsMFRUdnl2ODFaYkpxSzhHTGNjRFN5amV0SDRNNi1RR0pBUlcybTZpTlRzMGNxaUFNUWdXTzZscXktNEtnNlk0TGFDcExzR2dmODYwTmVqdl9yYWswWGxxcVJFS1B2X2tPV2I3RHBtLU11cklNMG5md3A1aTAxaTdSSFkzMHpCZzQ3bGtwa25kRFlRby04SnA3V0dVSkxkX9IBtgFBVV95cUxNRm9HM2c1LU9ITnRJd1VVOWEwbVdudlEzT0k5VDBPUHZOMThOTUFEVERIaW56Slh0ZEs4R2Fvd2YzRzFrM2VPSHpaMV91dE9DaktvQllXZnRLME9jeUdxQmFXRXNtakFiWHphbnBUai02RXJMMDhFUEgwT2E1VUNfa0JZYWFqd1RfaWZqa1JEQjNqRzR2STBCYy1BVkV2OFBMUmNQbFUzaHlNa2NHdlktTVpCRWVqdw?oc=5
BIDU,2018-01-18,"Meet the Man Who Created Baidu, the Google of China",Time Magazine,https://news.google.com/rss/articles/CBMifEFVX3lxTE1KaFZsdVFCZUE2U1d2eHVUZU03Rjd5ekg4SUVJOFd6T2U4V2Z3UmwxbzV4TklWenVHcGpzX0s4Z1NEeGJYTVJOR2VlNS1XTHZfUXdpT2NoNUsxQ0pEamtNZ0FWREI5Uk9GQVhmNEtPWlZnVWZnRGVkSUpIZFY?oc=5
BIDU,2018-01-26,Where Will AMD Be in 5 Years?,The Motley Fool,https://news.google.com/rss/articles/CBMigAFBVV95cUxOZ3F0M3ZQLWx1WGhRQV9sSGRxZ3ZSSVBFa0NWV3FJVmw2b3FhYV91S3dybVRyUjBNeldpTFFtVF81ejdpN2FTSmtlbFRkRWZlZzAza2FMLV9LczYzR3ZsR3NGdmxNX2ctRGxmcGxtcVRwU2FncWM0RFB3eGZYVmVZcQ?oc=5
BIDU,2018-01-28,Meet China's Top 3 Streaming Video Platforms,The Motley Fool,https://news.google.com/rss/articles/CBMilAFBVV95cUxOQXVWSmdNczBjMDZuVzI1X1loMm5GUWN2MDB5OHpwU3hsM0xHUXM0dUxyd25LU1BRR0tUQnRGZ29Ib3prQm1QaWpMWEhMOHNrQkVSZGxlMmtRdnRlcTlqRmh0M2k2OU9DZDE3eVpCQ2l4LUFWVHcwMzZBVE83YkhDQ2txRXpKeEtUZjdIdmVkbl9BeGJy?oc=5
BIDU,2018-02-02,"Technical Analysis of Baidu, Inc. (NASDAQ:BIDU)",TradingView,https://news.google.com/rss/articles/CBMia0FVX3lxTFBOY2NjeU9UWTE2Z3dEYWdmaVZTWnpWcDhuRXRkenBURExzel9IM0p4WUJ6UUg3Z09tSXJkLVJwN003cHZQSHh3R0p5UzVCak00b1lOYm5JQk1Wd05tNy1INmx6NEdTZU01UHNj?oc=5
BIDU,2018-02-02,The Tech Giants Growing Behind China’s Great Firewall,visualcapitalist.com,https://news.google.com/rss/articles/CBMid0FVX3lxTE5DVlhsSE5oTF9WaHZYbTlVTU5aazcyN3h3cHItX1pCWHNlYmJaT1VwQUpZR0RES3F5NkZjLTU1VUJnQXJnd1QyY1FWYXJoT21DYy1NbFJ1a0Nfb1hZXzNWSW9GY1hTdEthak1zcGZfX21Fbi10WDU4?oc=5
BIDU,2018-02-12,"After cashiers, managers next to lose jobs as AI predicts what to stock",scmp.com,https://news.google.com/rss/articles/CBMiswFBVV95cUxPa05tMjVFVVNwVm5GRW52ZHZKY2hybzM3dS11NHdhR1BEbjdCQWdQQmRVelV3ZnpCQ3VlUUVpN1FzckpqTVRNSy10Zi1GcGQ3Z294YlpNNmdWVTVXQ2NCMklaNXBURzRGbWVleGI4ZWdfR2JqTi1Ud3hEOVVVZGVweFdydzNRb3l1RUYxX09MdUNyYXRhY1JQYUhSemRpU1pWQ3Z2WEVodmJ5UnB0YjRwTjVBY9IBswFBVV95cUxPSWl1Y3hjZWNiTlFoM1VJeXQ4US1YbUkxRy0ybUVnZy02WXlKci1ROEItRW5tTWlyZm9pRW16b0xRSy1mQVVPY05NVUpRUnhXYTNyT05oUldObWRkdjZUdzF0blM4VUo1Nk01QS1feUVGd3NWaWd0bE92cC1QbEhJaC1GWXdsSEhqeTVsdXplUXVJQk8zWXhrSXpKcFRuMkpSV3BNQXhmOWh5U1dJZm55UW1SRQ?oc=5
BIDU,2018-02-13,Tencent Owns Stakes in These 4 U.S. Companies,The Motley Fool,https://news.google.com/rss/articles/CBMilAFBVV95cUxQS2hha0FsMXVxaEpuMWJUUHF0TkVNeWJhdTNwdDlwVEdvZ2NqOXhmcXpnV01qenFQMF8xdTdYbWNxYWtsSFZvdlh4bThOSnNlVXpsdlQ0MnJhS3MyelYzXzNpQzFfOGtOX3lhakJWeVhBTk5vcFJQNUtoNkxqMGdqMkhIdHpTLVlWaXhIYUZqWG9wbnJx?oc=5
BIDU,2018-02-14,China’s Baidu Confirms U.S. IPO for Its iQIYI Streaming Platform,Variety,https://news.google.com/rss/articles/CBMigwFBVV95cUxPWDVPOE81TjVfTUN2Z0VPdXRUdHJyblhlTk9pQ1RqQnZsM0EwR0lQYUtfMnZIT1hOVHA5YnNTZy1fWlltSlNMbTJPVnZyemNVZWp4UmktTlNnV24wMlRJU3o1MFFBQ2hmUEM3ejk3TTFxaFNROEk0YXFVVFIyY1ZWSWdkaw?oc=5
BIDU,2018-02-14,"China's Baidu tops revenue and profit estimates, shares rise",FashionNetwork USA,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOMjNNSk1yQTE2Y1EyV256NFVmRXBGYm0yd1hjamh3VFJyTlIwTVFrb0J6Tk5KSWVEakQ4OUZZY0NQZjZLMVpjVkJNQ2lyRWhOOU1NbzNGaC11dnlMLUdFa0pVcF83T08xSUpNejllbmdMUmtLbVpFSTdzdExmMm90WU9IUk5oV2VJUDk3QmJKZ2dNc2dLRjczUC1FSXNnX0hXdmh0OTZ2RlFOdw?oc=5
BIDU,2018-02-28,iQiyi: 'China's Netflix' to list on US stock market,BBC,https://news.google.com/rss/articles/CBMiVEFVX3lxTE93VnN2SHFRRDk2N2xPZ3lac1NlNlJWNEotTlY2aGYtUDNPdzBGd1A5Qzd1ekVsZnVwamZPUE1NVWdtSWh6WldGSFZ6V1QtMHVhdmdyOA?oc=5
BIDU,2018-03-05,AMD May Fall 17% as Bearish Option Volume Soars,Investopedia,https://news.google.com/rss/articles/CBMihAFBVV95cUxPWmQxa1U1ZFR6dHBFRDdCeE9FTHUzWGRYUTdXdWM2b2h5b3ZpOWtZQkpBTlZhTG9TVG0wMUZoR2xGUWxUX29CaWNjSk1vcTk1UTQxVnhlWkR4UHpZQzE5ekN5OU9nZC05RVF6Sk9RZG9FOFQzQ2pVbWpWSUxoejlSTE54Uk0?oc=5
BIDU,2018-03-16,How To Rock The Stock Market Sympathy Play,StocksToTrade,https://news.google.com/rss/articles/CBMiY0FVX3lxTE5WYWVfcGh2emNrc0VZcjJDUnN1NjdMTERYSm1wWmN5MHNiRE5mOEpaVGo5VGZxelNENW1yOThOYjdwOEUweUFyVVNURzFmOFBxUTRqWlloYm1Yd3RYS3gyT3hyRQ?oc=5
BIDU,2018-03-22,China tech stocks gutted as Trump calls for tariffs on at least $50 billion of goods,MarketWatch,https://news.google.com/rss/articles/CBMinwFBVV95cUxNeGVzVEVMbDgtTzNnWFk5RXdHU055ZWJGWm1xTFEwcEhORG05M2lGTXVNSWVqVm8wV0J3aHRhRHNQdjg3MHVCUkZwT3VEeDllb3otS3VsMHRrc3NlUURwY0x4LTBBSFZhVFZDczJnalFZOExvdVVMaGQxYjZHeFAxUXNMVEd3S2dLdmpJTTZjWmRIaFZ5SzlMazM3ZjhYekk?oc=5
BIDU,2018-03-24,"Dropbox IPO succeeds amid market volatility, with more tests to come",MarketWatch,https://news.google.com/rss/articles/CBMisgFBVV95cUxNVWkzN2YtQmNtSUNVaTJQb2xjLVlrZ2JZOVVqT014RkFTakVITm04ZndEbXhrdXN2a25qcEhzVVVRUEg1Z09MUnk0cnpGY3M0VW1KV0dlTk9pMnRJd0ZTTjFaX1REaUYyYkVvRFlXOUdEY1BLb1RzSUdZQzhpbGFCUHRzU0FLNGpaUWxGOXBxVjFnLUdrMVN2QnZ5UjBoMXhZYXR6ZDV1WkJWeHdmYlREX2dR?oc=5
BIDU,2018-03-27,Investment Bank CICC Eyes Wealth of Offshore Opportunities,Caixin Global,https://news.google.com/rss/articles/CBMiswFBVV95cUxPdkJNRC1Tc3g3cEtOclotOHhfQ3gxLW9jU3Y0dVVLRGh6RFQ3TDkzaXNtVFQ1U1RvY0hGU19rU2hyU2w1ZVZwanRFQ0M5aFVzQkZ2NjdpTHdjNFZ6Z1d3Z2E3TllnaEhtZjREWnF5ZkJ2c1MyVmUtcUZEelNRZUkzamZWOU91aGFSZjFoLU00bmZJa0ZBM3RFdGlMQ2ZSelR5RzBKb01iaXNxRWgzV2RON1ZaRQ?oc=5
BIDU,2018-03-27,Cover Story: Venture capital Virtuoso,theedgemalaysia.com,https://news.google.com/rss/articles/CBMifEFVX3lxTE40RlBqNmZHRG00QXdyNkYyVHBLYXdzXzhjSkJ0RUMzQS1oUThuUVA3YldTN0pKNTBtYXo5RktDekRIcUNkNmF6dDZsRlRIRjN2OTEwVnpwUkliUlhpWHZDNldOZ0ltbGpkMTlYdktraHhvZG04WlBDN1lrekc?oc=5
BIDU,2018-03-29,"IQiyi, The Netflix Of China, Begins Trading — And Then Falls",Investor's Business Daily,https://news.google.com/rss/articles/CBMidEFVX3lxTE9sOHE1YjdVSVh0ekdtWHZ2ckYwb0lFTDNod0lBWDgyYnZKUm1acUFQazJXbkJYbTRTSDdzN1EzeTJTMGxBcEpUbDRZdzhUQ1VhV2VBTzB0RFlfWHpyamQteTMzdWtSOExiMUJ6WUxuNjNGUE9f?oc=5
