ticker,date,title,summary,url
BNS.TO,2018-01-08,Nova Scotia mother of boy with severe autism shares details of plight at home,Global News,https://news.google.com/rss/articles/CBMiswFBVV95cUxQMVFoUDd4S21YSmJtelBSMkNqcFNoMGx4ZkJyY3NpUlhucDFMVlpSWU9xOVdCaUJyWnpyRVdudjQwTEF6NGllUFM0eFYzQlZYTzJaT0xxQ3lGYzdqZTViRllTdkFVcjZ3TDNoeEpnWldVRDBZSl9CeGl6XzkzNTJILVBtd3RxWmwtZ19YZGhERDVOMjVaRjBKNnVweWFfQ3I2bUNZaVBEc3pSb2U2NGZVNkxHWQ?oc=5
BNS.TO,2018-01-12,Nova Scotia report calls for reckoning on history of systemic racism,Global News,https://news.google.com/rss/articles/CBMirAFBVV95cUxOek5KR1U0UldaVHFtZmY4TzB2RlBjR0kwWm5XNk9hZnowNGN1cmRkX2JvYVpibUY5Y2dFcnhzdWJoZkc5T0ZieTNfdEZuTHhFNVByYlFNcjhzSG5GaXlTWVNUVjYtalZxbzZib0tWLVc5MG9fLUN2eWM0dWZhT29KdmY1WlBlQkhTc2stZEVtVDd1ei1NTVIzZ19MaF9ET19kRGtXYjVydUVXS290?oc=5
BNS.TO,2018-01-15,Stock Transportation stripped of charter bus licences,Global News,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9kcHJ1eFNDeW5IUGJBT2VoanN3T0x4V2NIWDV2bHBhc051dy1MeEdlUFZIV081cVhObE50SGY2ZlpQOEVoQTg0bG9OcFpZYjdZbmZob0JpTFk2VzhkanNxUmpiV283Y00?oc=5
BNS.TO,2018-01-26,Men of the Deeps miners choir seeks new members,CBC,https://news.google.com/rss/articles/CBMijwFBVV95cUxOMjRTTWp3ZGs4TXFlaVpoSkhSWmwwYzB1SGQ5UG1qVGJUUmYyNEdjWlR0eWRVeHRMenpFZHlRTjhZUF84bDgzN0M5T1NsNzgydVFibTdSMmxnZk5qcHZSSTdwbWZWamNaODBLWnRzNkJzSE5LelAxR0o4UWxtMEVmVmNnQ05DRlQ1VDROVVdSVQ?oc=5
BNS.TO,2018-01-28,Find an edge when investing in TSX ‘dogs’ strategy,MoneySense,https://news.google.com/rss/articles/CBMingFBVV95cUxQRHVqWk1YRVhYWlhtVlkxbHJyalJ3UWhQbHNnWDMtTjRLZEs2OXF4emw1Q2d1anFIMmtEMzM0U2RiWXMyU2trTlF1aEw1VmQzUll6Y0NyX3MxakRDQkExbjJLdHlJdkNhc3Iyak1DaHVES0JxMEJEWW1zTW9rZS1QUmU2ZWZXMzJkVl9mOEtfTmVJRE9iZ0RLb2dNQm9QZw?oc=5
BNS.TO,2018-01-28,What do you legally have to do when your car breaks down?,PNI Atlantic News,https://news.google.com/rss/articles/CBMiogFBVV95cUxOYWRhLXVqQkR5VkNBaUlUQjNfUjZ6cnkzYVNxS3BBTjR0OG5TN2tBRUl4VjNZSUpFbEd5STJSeU5ybXh2T3N3MHFkZXpYOVMxY3RVOXFDY0wxemstSkxHOWZGbWVKcTJ1bTlxZHJtVm4xVUc5YnFOVTdZX2lUTmlBZ0VfSjhYdkZHUEZzQUZOU3R6Z19XMFlYbS1pOF82SXJ0ZWc?oc=5
BNS.TO,2018-01-29,The high cost of low corporate taxes,Corporate Knights,https://news.google.com/rss/articles/CBMikgFBVV95cUxPVG9Vb1ZlZVBfTTlyQ0k5UW1wMXcxNVVhSVgyaDlLNzB0Q1l5VnBMemlPQTVlb2VQZE9mSVdSdDVUXzBma3BhbUNDQlJMSXFmSGdoZ3BReVRBaEwtd2xxNkdYc1BFZ2hJRFl6Qi0wLVI3dkp6MnYtdWJjakZNRUNjRW9JWkNlVVk0Qk1QbHB5alFxZw?oc=5
BNS.TO,2018-02-01,"'I'm a public person with a very private life,' says Cecil Clarke, announcing he's gay",CBC,https://news.google.com/rss/articles/CBMihwFBVV95cUxNbHNQWE8tMW9tZmx6ZTk4Q005NHlaNDVETGVFQy0weXBfVWR4VG1wX01oZEhfZXhhR3doSVBEd0RhT2k2Vmh6ejdwWWJyMU9GOXVwQmhsemQ2dVZGekcwUDI5SmR5VXY1MnZ6RjFyZklEeEZhVXN4NlFiZ0lzNF9VR2l0VVhzUUE?oc=5
BNS.TO,2018-02-01,Pumas’ Palencia: “We have to continue working”,Concacaf | Official Website,https://news.google.com/rss/articles/CBMioAFBVV95cUxPdlpZUzdDQ3NTSUo0SklCVHBtTl8xR2VaRWZzZUhadmpZVVM1Q3lyRmY2eTk2c2syZVdZX2RvX2lSUzdvUDdKWXl0c2g0ZFRjYlJyTG5iQjBnXzN1aFR1RXhMX2VBUlVhZ2p3VHFYM3ZFVVUwSGJfZWtZVGU4R3N5QVRQSEJwX2h2T1ZsaEFFWFhzMVA2bXBCS2I2QWh0UkE2?oc=5
BNS.TO,2018-02-01,Canada’s Scotiabank buys Citibank Colombia’s retail division,thecitypaperbogota.com,https://news.google.com/rss/articles/CBMitwFBVV95cUxORVR3YmNEbHF2Z3pyQWIyT0dYQjJ3REprbmdzVmJ4NmM2UG01VExTVFd4S0JzdjNnR2hYSTF5dmRfS0F2b1lXaUlOVmh5Znk1MTk5RUctSGRjellTRXVMaFZaN1NTQTQwVmYzRFRuaHUwUnlmSFZ4WlZPNEVFNTZManZ5dTdoR2ZzRmo3a1ZjMk5nSXh0TkYyS3hmS0M0eTlSNE9nU3VlTjd6NFRNRU1TVmxfZU4wVVE?oc=5
