ticker,date,title,summary,url
CNQ.TO,2018-01-02,These are Canada’s top 100 highest-paid CEOs for 2018,Macleans.ca,https://news.google.com/rss/articles/CBMimwFBVV95cUxOUFozbTNKOFh0dGlmZGwxVTRYbXNtd1Fndjg5bFVQNjFoeldqcXJ6M1NlMjdDdXc5ZGEwVmY2UnlYek9XQW91VnU1dEdQZVVFN0M5TUZQVVk2MEtFN0dwSE00RVdFM0JNaklMMTNpdU1OTTRfanJJYVFXcmxIVVoyX3FETVoyZWtnaG9tR09KRm52Q1BMcVlZanVNUQ?oc=5
CNQ.TO,2018-01-12,Why the Trump offshore drilling plan is another Canada-U.S. complication,CBC,https://news.google.com/rss/articles/CBMipgFBVV95cUxONmZqRU8ySnkyVE9KdU5mcGE0UzByZk1hSFhoRkpXOTRXanlnZzFoazg2VU1xUG9TNmZNM0pWSFFFSWNQcklUVkg5Mm9VNVE4LUlxV0V5bjVkUHJsakw4MGFYM0VSV19RRnlBTnVNVE9ONng4bVBhZklXSC1USjZzcnp3TTVtREIxblV2R01jSERvclVqaWkzOGs1bGJ0T1RJcTA5VzNB?oc=5
CNQ.TO,2018-01-30,How TD helped Canadian Natural pull off blockbuster purchase of Shell oilsands' assets,Financial Post,https://news.google.com/rss/articles/CBMixAFBVV95cUxPSDdISXVZbDI4SHBfTTJjckE0a3lXV0hLTmp4WV82NmtKR2VvM1RuNXd3OTV0ZG0wYkozM0t1cGhaTUpqWjV0THNHdDlyWllKZmQybjNCdnpmY1JnMTVoc1ZZX2doQXBmcm1PY2wyM1p2eHFUeldUX0g1SVdYZW1qVlNCUHZUay0wM3NmS3RPQkFKWXo5b3JhUWhxTFVONWZuTm5Ib2tKdlNMZG5QaHlhQlBoZm9oSW5RMTg3bGozNHpCSVVr?oc=5
CNQ.TO,2018-02-03,Technical Analysis of Canadian Natural Resources Limited (TSX:CNQ),TradingView,https://news.google.com/rss/articles/CBMiZkFVX3lxTE1KUGlJMGRTZmJZdjFyYTVUdnNlQXRsQUZGSVI2ZnV5Q01qNUdiejA4Ul9lQWJ3MFZSQzFJU1h5M0hnVExiMTExM1hLdVRCYXo5WGpDdy1aR1RxZDFUUE5PRjJpNzRuZw?oc=5
CNQ.TO,2018-02-13,Star Diamond Corporation (DIAM-T) Stock Price and News,The Globe and Mail,https://news.google.com/rss/articles/CBMickFVX3lxTE5jTGdCbnE2VU1FM01RUzEyc2ZOVWQ0X295MjhjbU9CbzFSaXUxUVQtVGNtR1h5d0Zuek5NZ0JBSWxkUEUzbk1KVmtyN0hTY0JqZHI1TGtvQ1I2SHgtNU9PSlhpOFk0OVdLSVMzODlaTEhoQQ?oc=5
CNQ.TO,2018-02-15,Most successful company founded the year you were born,Stacker,https://news.google.com/rss/articles/CBMimwFBVV95cUxOOUxnSGhQQ25XY1BlLUIzdHZoTXdzTU00Y1U3Y1dkWGFBbUlGcjNqRW1RckpwTW10dERGN3FCa1FuVlE2dnZ2RTFDVlVsc0tMVmhvV0NuWlFzUjJzbi0yX2dMWC1XZ1hYemN3U3NDSWVSNWV3Y1FiNG1Gbl82SURDbHNRT2dTZlJIZmg0R0lTbTQ2WldYRlVPWllScw?oc=5
CNQ.TO,2018-03-05,Soil,The Canadian Encyclopedia,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBoVHZzWjJKQ2dkQUYyMkdacWRfcGdaWFl0eFpaa18zVXJ1S0N4dS1rX181dVBoR1ctMWtmQXRKcmNUdFFCUEw1dXpLWG80MnRWeEg0Znp6MkFaZ3FqekhB?oc=5
CNQ.TO,2018-03-07,Economic History of Central Canada,The Canadian Encyclopedia,https://news.google.com/rss/articles/CBMihwFBVV95cUxNMDY3NmNRVzJyVk5aUHBuWG1RM0p1eU1vZ2pkbFBwZ0FILVc4ZWl3ZGE0YjBXLXdBb2pvWnJlUE92SklpTWEwT25TSEFCTmdoWGlHV3plVl9ESUxVTTQ3WlJIODNxdzFGVmpzanVhaERlRnkteXRzNnN5NlNiR0p0b0Y2d1RqdGs?oc=5
CNQ.TO,2018-03-21,"Cipher Pharmaceuticals has 157% upside, Echelon Wealth Partners says",Cantech Letter,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQRXJNWGJEOWdXSjk2T0JkRmJBQ3JscWVzbENCSXBnRmV2UzRZX3FRdTRIRTlUUk5qOTdnT2RYREVEcnBiNUJzUV93VXRXYm5oYmZLZm5KLXhaTjB6TVF1VE5GcDRPaFhOZ01PYTRIT2QzV1JQTEczallLRmxRaVZmdmc2WHdGZjdoX1A2TjdMd3BPN0pxMWE4bmlDQlZPbDQ0ZGIzdHZEcU_SAa4BQVVfeXFMT1ItOFpRcFFRVElPT1ZYMVR2aTVObEcxTXNCNXdHcS1RRHFFS1dOQjZQdUZfVHJOSTB2LVlXZThqN2JKMEtGLVhTWHNUWFJyQTgtcWFlUnpwSkNwUWVVZF8xeFZIa3JVYnRoS2pidVNxbnNULWlYSFFPTjhGWElFY3EtRjFuVEJ1MmRiejdsdUp5bndnaVdwLVpXb2RZN282Z0EzbjZoQkNNVUlmTFdR?oc=5
CNQ.TO,2018-04-23,"MEG Energy CEO steps down, raising questions about direction of company",The Globe and Mail,https://news.google.com/rss/articles/CBMixAFBVV95cUxPX2hJZkpUeGp4LWJiWS1kWFNXN09GOVVqLXFvMDVDRENnbWJVVXdvS1VfT3c3NG01b3hlQlpMS1l0am15cFJpUE1TVjh5QWt5TUNYOUZvMUhOdnZtenIyYkpScDNPNjFfYm84cDBSaUtTNGFjTThfMXg3OWVad3dXS2paZ2lvMFY3U09TX2Faa0hiRDkycTI5WjB2UHIyV09YYkdpajh6ZV9sSG1rbEtJTkNoMGEzb1B0ekdjUjZEYzM0VjQt?oc=5
CNQ.TO,2018-05-07,Shell selling stake in Canadian Natural Resources for $4.3-billion,The Globe and Mail,https://news.google.com/rss/articles/CBMisAFBVV95cUxNZlEzdGhOQkJPam9sRXptS1FmOGRkZzlrbE00TTVGcWpNX3Eyb1BxZkVkMnN0bnprUWZSak9KZmpUMW5ranlIQXp5blhsZWctZnVKZEd6ZkxYSVRCaVlwdUFhalZXUVVHYm9NNU9sd0tYRTJaNmcyVEF5OFNPd25JUVlWT01iQXRjSEFGTE4xOEVkVDlleEVab1B0V01CcnVVcXNlVnRMRkZISDNPRE9NYw?oc=5
CNQ.TO,2018-05-08,Shell to sell $4.3 billion in CNRL shares as part of $30 billion divestment,Energi.Media,https://news.google.com/rss/articles/CBMilgFBVV95cUxQc1NEUUdFT2NxNU93X1ZQbGxnZ195N005Z2tsdHI3QlAyR1YyWkxFY0RWOWhEbmkzajNuY1UzNnVMR2ZYRXNRZU1FdHlNY3dvdVltYWdVdnBZaDZ1NjJxdzJsX3ozRVVwQlU4Q3l6UjlSc2ZDUUtFM3VsVFluVTkyb193LXV0OFo1dm52WjRIXzFodEU3MWc?oc=5
CNQ.TO,2018-05-08,Shell to sell entire interest in Canadian Natural Resources for $4.3B,Global News,https://news.google.com/rss/articles/CBMijgFBVV95cUxNLVY3bnI5QlBpV3BQSXY0UWRINHlXUVl5SE5nNEliRzZvZ1hVLVZnWGNQZnZuQjQxenBNODhrbThvejNzU3N0RGNvcDNfazRaekx6REpfVDJhREp6d0ZxTERZOTdWMEV1RUthV3BzUEU3cDl2elI4b2NNTDd4OHY1U1lhenFEQlhJa2dLSEt3?oc=5
CNQ.TO,2018-05-17,YouTube launches music service,ca.news.yahoo.com,https://news.google.com/rss/articles/CBMicEFVX3lxTE9NNENpMjBEUDRnQnY4aHlWMS14aVFubHlSb3hKYVdCVTBrRjJtWktFWkl5YkxDTkF0LVhFcXFoYVNvOVNsTG1WYlJjWjdoeTY1anVtRDVFQTRDMDluVmhPVXF5N0twbTF4ZzRCV3dmQm8?oc=5
CNQ.TO,2018-06-13,"Getting rid of Corus Entertainment will be difficult for Shaw, Canaccord Genuity says",Cantech Letter,https://news.google.com/rss/articles/CBMirgFBVV95cUxNcXUyWW1sUFpucFRKMVJfWlE3VGpaemlOaE1hcmFFdC1RZWU5YWtmV09tdmY2TXRURkl2eGJuTm80dTVQRHppb2JKOE94aXNfYVdTc29TWVhDZjh3b3RZUFMzaV9kSWpkWXZ1NjlnR0NXejByYWxHNExWUHNYRWh6OVBkclVsZ25HbUthOGNLTDJDYkNBX0J6YWhhUWFDaFQzTE1YRExLeEllUmpkRnfSAbMBQVVfeXFMTW9oWGJjcjlQcWc3SEpmQTl2TjFHeFFpOE9OaFpUSDBnRU1meFpWa3A4dll2OXhBQnh4eFZlc0Q2MFp5bUVUUjJ3LTNfdVpSTno4TFByWmhRTVJhSHRRYzVJaW5LZzlrQ0trWll6SVRLY2cyQ19vWDBUMHdzR0VXazdiTERmNTB6Q0o3a2tqdnVuYzJ1RXRLN2JkaUhtUEpoRml2SUhKSUVUUWlVRTRMeEtUOFE?oc=5
CNQ.TO,2018-06-29,'We eliminated a potentially disastrous event' — oil stocks surge after Line 3 approval,Financial Post,https://news.google.com/rss/articles/CBMixwFBVV95cUxOc3JtRTdWZkljdXUwQl9mcDJycFhWUzBSdUVNYmZNZm1vN2pKbmxIVjk2dUF1M3ppc1ZtQXVPOGhob1p1NkpSLUlqUmNEWjh6MnhQaTJXY2lEckFwRDU0RVNETXJiOXEzVC1Eb1JEUlVMbnhIcGc5N1RzeWxlUXpQbFJfN0c5akREZDRBbjFyZk9nNHl3Yk9kNXo4RW4wbEg4U2dCUks1M0RkbUh1RWs5OElEczJ3M0hoLXJyZFpuaTVNbXJTUmdZ?oc=5
CNQ.TO,2018-07-04,Enbridge sells Canadian natural-gas assets to Brookfield group in $4.3-billion deal,The Globe and Mail,https://news.google.com/rss/articles/CBMi5gFBVV95cUxQMUd6WWQ5cDlTOTluMXcyZHoxR0llMTBlWU9TcEJXMXlnTmdlZndmSjRpamFNa2xBRWY0ZUNqWHR5bXhWSHE1SWd2SERDTWJ1US1QZ0xUYVl0aTJtcVJ5LTVtTUpqZkF2RlZHb1RzajE5OVhpNmVQaUVQd1JXT0swTzluMTg3Qm02REJ0QUxBX1lhMlhoTjhZWXl5REVEcFBaQlZzbWdBWW5Hc0FSLW0yWnlEMnNibFM3cEMtZzgzTkx5bXFpT1ZyQS1QVFlOVVcxLVJ4MHIxM2F6N1hUUWJ3bWtvY25PZw?oc=5
CNQ.TO,2018-07-04,Reporting of Payments to Aboriginal Governments Now Required Under the Canadian Extractive Sector Transparency Measures Act,McCarthy Tétrault,https://news.google.com/rss/articles/CBMiiAJBVV95cUxQOWk3ZUJ1OUVPSnhwS0xlUTZiYjlEeXhBT3BZYzNHbXBBMnlfWk1nMTA4eGg0UjJqZ21ma2QwdFFncWFubWd6ZjFXN29pSlI4dG1HdVJxYUYzZDNISklQb2dsRjdCQmxHbXZnWHYta0ExZVFXTy1LbHRBVHFqZk5GNkZidHJndi16MWVsR0dVWDZrVzhJMUxCb01sUXFmeVZmbzVJeEkwVUxiU3FTWUtMQUVGbk0wXzVtSFRJNExoQkJ5c0FhZl9WWlNPUUpGNHJyaVNYazRRa21kWGk2SVY1LTRtaUN3MWhKZ1VaQkZuSDBOOTFwRDdTM2hwTjNvSEZtb1QtMUtHN1Y?oc=5
CNQ.TO,2018-07-23,What If You’ve Invested in the S&P/TSX Composite Index?,Yahoo! Finance Canada,https://news.google.com/rss/articles/CBMiggFBVV95cUxQQlp2Um5uZVR5cGlrTkFGQi1BTGZuSU9XYTVsSnJJMVVnbGpVakJ4UHFkMHBTNWxHc2h1dWRuUzZEQWw5Y2xyQ3VXeW1jUGNlb2pjdWJkRURWd2N2Vi05NVd5ek9uYVNTTE5HZDhTYTh6VURfOUx1RXd3LUp4dFFMbEl3?oc=5
CNQ.TO,2018-08-13,Ensign makes hostile takeover bid for Trinidad Drilling,The Globe and Mail,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPQnVlbzlHOFBXTVJIYTd1WnhudFJzd2kyWVRNeU5adXZMY2VsVVdlbFFpVkZUREF2ejhQNnVFM20wZDFoNXJiYng3YnVXQWp0Z1YzWk45cHRSV2RVVm1adTRwQjM3WUh5bzBhMVpwTEwtdm0xa0JIRS02SER4dGptUnVNNWRBUzlHVmtLcU9NMHUzbzdlQU9ENDhIb2hIaU5ycVhVNGZDalk?oc=5
CNQ.TO,2018-08-14,"Soros Fund Management adds popular tech names, BlackRock in second quarter",reuters.com,https://news.google.com/rss/articles/CBMiywFBVV95cUxQbkljd2paM1Y3eHZfbm1tcWlGRGlPcE1MMkNKV0p0ZHZqdWxKRTVyeVBxLXhxQVdNQXRVUmU0enZrdHltNXhWTlVydmZPQ2ZHejVIUUJVN2ZaZDMtTld5LUxkYVZHZmxlcDh4bGdhcXh5MTJSRDFqcEFwM00taExwdERGLWp3WkY0dXBGOXVKak5pTzc2XzBzMTVGSGkyOW1IdmpkNzZDLW5KRmhiMnVkcW9oLXZNeFpjVVFsYXFja21XMnBLQlVzS0QzOA?oc=5
CNQ.TO,2018-08-15,George Soros' fund adds popular tech names and BlackRock in the second quarter,CNBC,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNWXZiUTZjbnRuZW51V1NSQ2VEX1B2cy1qWHlmQ3Y1T2RwVW5tMEwwQmxXaWw3ajIzbkNsMGdnd1BQdzdDSWQzcFNuV0FsR25nWDNIMmVpLTZITDktQXB4dks3Wk44X01yTHh3Vk1OcktqN0JqY092enlFTEx2MG9JNy1IMi1GYWprZnFRMTI0SFo3TGdPZ1VjMnllcF90Qi1PeUJMX050VFVTZ9IBrwFBVV95cUxPOFUySDA5S1JfeG5oRFgyRmpKVGVrdU1BWVlmWTIwamJrd1ZJcDBqcGZDbzVfWlJWNF9HeGVCTVlDMC1yX0ZFSTlWY3hCX0IzTzJHbTltclBUQmZDQXJuZFp4TFpDQV9lNjdjMXBwck5UekktZWNPR0dlSkhjLVVCN1pDeDhaY0hBbzhCcUQ5TG16eVFQdVU1dU9KY3NsUEdkZXFDQWl4QTNYS0RqWkJV?oc=5
CNQ.TO,2018-09-07,Varcoe: Oilpatch 'boiling over' as energy CEOs tackle pipeline impasse with premier,Calgary Herald,https://news.google.com/rss/articles/CBMivwFBVV95cUxQYlEwVlFONTdpbXlPVUlIWXlKdUpUNnhYdk5YbDloVVlrXzBhUWpjRVZUVlkzeFdpQ3diQUtIQXhvNUFSOGpmWUNmYzBjQjVlYnZzTmprbDlqLUlZVzZEc0Z5RkVZVGNwUHFYekpqNXdRSFV0VkhVdk1RYVZJQlJSQ2tPSE9OWGxNVW80eWxIU0ZPX0xGYXRDc3lrMV81TnEzc3ZQeFJ5bUgwd29lSmNUYUkxRDJ4UTE4MlAtVzd5SQ?oc=5
CNQ.TO,2018-09-10,UK economy on track for best quarter since late 2016 - NIESR,ca.news.yahoo.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxNcV9udzVYVDc4SE5IOHNIWjlxc3c1c05VM004b3h2YmJmN2RRdjJHOEYzeFJvNDJ3YWxyN3hIYUhwTGRNYS0xaEpNVVBUS19HRnhiQ3MxWUlkcEduSURCWlJ0REp3X2ZsMkZ6YUpIdjBnWmkxbTJQSUJVUHpIQmZweHM0RzVtY3kxTlhfWUhOVVZvMXBwUjYxV3gzdDZuamtURHc2emgtbmJVcGlqeFBF?oc=5
CNQ.TO,2018-09-17,by Geologic | News | Oilpatch Icon Clayton Riddell Dead At 81,DOB Energy,https://news.google.com/rss/articles/CBMinwFBVV95cUxObXlpbVRJbEZwMVAxRXY1UmwtTTdhYWdiWU4wM0dfbTFnNGVsdU00YkVGbHpsUmNxcFg4b0llb3hxc0NoSEtST1RVY2lnWXNkWTI0S2lPb293b1JZRjlTY0dFUk9VMmV6MjlTckFyYzUzc2dVZ3pneEhuYTQtSEVkdDFkMDJJLTBXZ3AtdWVPa0NTeVh6bjhqbG5tLWwtNXc?oc=5
