ticker,date,title,summary,url
CNR.TO,2018-01-08,Canadian National Railway orders 200 GE locomotives,railuk.com,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNNkxoZUw1eHp5Q0dqY2RlRm0wVTZPblRnb2R3ZHlraFAyUHZaUFpEdHRfUW03WER6TThsT25jWWY1UWxtSXgzOGdfLUktQ090bmwzSWYwRDVRZTFQT3V5NW9rZ056NXZIRE9EcWQ3eE40Q2xqY2VqUFk3dk52RzRIeXlwTEZjVUd6?oc=5
CNR.TO,2018-02-07,Technical Analysis of Canadian National Railway Company (TSX:CNR),TradingView,https://news.google.com/rss/articles/CBMiZkFVX3lxTE93aWsxTGJoNmFkeWE0YnlTdHhpOVlyRjNQanE3RTVnbVV0dkkzc1ZLWk5lYVRkQW1YS3Rwd0F6Z3oyZTFlbXVaMk1DUXhkMFE4TnZwb2R5VW92WGpWQlNHRkp1UEhTZw?oc=5
CNR.TO,2018-02-15,Expanding Bruderheim and adding refining capacity - Cenovus hints at future growth plans,Oil Sands Magazine,https://news.google.com/rss/articles/CBMivAFBVV95cUxOVXRLY0k0eXpKN3d6OVk4VkhKc29ySzlac2pZNnpweUIteVF3U2UtZzhqcDZYeFZGSjYwLWttWHpSbElqbFZGOFBqUF90bTdhSTM2QXdCb3lzYW9hQkFrZy0td2ExdUVKWnVFa1ZweU5vWVJISnA0Skk0WGNXRS1KSml3NXRGQlRVVzNRWXp2TFJXdFJaVk1kZ2xvR2VzYkdIZzI0N1h0T2V6MmROOFFRN005VEZoakJZcUR4WQ?oc=5
CNR.TO,2018-02-21,CN Rail’s Traffic Jam Dulls Shine of ‘Gold Standard’ Efficiency,Bloomberg.com,https://news.google.com/rss/articles/CBMisgFBVV95cUxNd053VnlJb1A3UVY1QkI4M19aZXpwMWY1LWxJT1BtTHNWVFl1MHAxQjRnZy1yZERzZ29QaFdRVzQ2enhTOWpOa0lVNFpqQktsS09GMldWUkVBZlQ2dm0wSDJTdXhGNVJwTndKZGZwNlJiZDN6VmlpRkEwWGplZjZQV1RpUVVFY0NwUHQyTS1HTWY5TVF1LVZndWtvNE9LSC1ZU1Q1VVZOQ1FXTGpOcmZTR2hB?oc=5
CNR.TO,2018-03-05,CN Rail CEO Steps Down After Less Than Two Years,Transport Topics,https://news.google.com/rss/articles/CBMigAFBVV95cUxOd2pKVXNXWS05azBKM19YbFFoMDFGOURVd1U2ZzVfbnpXTWJiRWt1UnhEUm1HSVU0WWI1eElVRWxXckllb0Q1ZWtyOUUwM0I3eHpjdDlpalZGbkJ6d2p6cTVLdG92MjIxRkwxeG1vRFpRNjVvLUJPOVNkb09FNzhQbw?oc=5
CNR.TO,2018-03-05,CN Rail CEO Luc Jobin steps down abruptly,Yahoo,https://news.google.com/rss/articles/CBMikwFBVV95cUxNbmsyZXFYb3dGeldvTEdCQlA4V0JxV0JwYmhCYjVDa3BIa2ZmSjc5NkdUZm51TFRlUTlEWE5DWFJqcHFMb0l5NFNVWkxJWUtfZGZ3TkpXVGlnM2pXSFB3T2I3RElaX25GNk9VaUZEWTZ3NjNiQzNidUZRc3RjZUdCdzVJVWFjNnBSc2h3bEdUcEFsa3c?oc=5
CNR.TO,2018-03-05,CN Rail ousts CEO Luc Jobin,CBC,https://news.google.com/rss/articles/CBMiekFVX3lxTFBzWHRSMXYzeGNJeko3MWRHdll6VlNkUzlOVVdpNVFUa01zdmN0VnA2UFlaUExDY1Uwb2MwQUgxUjBXM2JqU0swTktweDAxRFNCRktJZTJCLWRCVU5jZkRVZy1VZmV3ay1LYWdVRmRERDFLR1VZRl9iY1dR?oc=5
CNR.TO,2018-03-05,CN Rail abruptly replaces CEO amid ‘poor operating performance’,Toronto Star,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNQjloeWVDUUpYZkFMak13cW5ZVENtekltQ05IOEpfcUpDa2w0c1M2OFdVelRzQVRDbFpKWXRwTF9TTXBweXRVMFlPd09SQWFlYVQxNERkdHo5Wkp4d3Y2ZXQ5NmV3RUQ1R08ydU1RMXoyaTNYVkZhNnNtN1JmRWlEbWRCamFfRXZJRktTMERuNHVOd3NNSWI3dHFibXEzellQNU44NlI4N2RPSER6TWNaTTNzUk1oM1dhVVAzRjBxVFFJTXBucGIxZVlMZlJzODF6ek1QNEtXQzZieVZi?oc=5
CNR.TO,2018-03-06,Medium-speed maglev in pipeline,State Council Information Office,https://news.google.com/rss/articles/CBMifEFVX3lxTE1GZ3RtenZPSUZ1VmpUS1pDYjNqeXdfZ0xPbExDUllIVklPWGhzRVhzQWpLS2phUWI3WUNwTVBnTDJwUDZ0d1dwd2F1R0tEZUpJbWJKS1AyUmxFRUtJZUo2WWxkdk5FUXdqdXNvdUp1UEhDQTRpb2w1YVhWU0I?oc=5
CNR.TO,2018-03-16,Montreal commuter rail investment plan unveiled,International Railway Journal,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQSHhPNU9vUkV0MFM4UnhNYW12c29semVUVlduVklIdDVzZGlvWWRnWHZ4VHoxV2dRd2s1TnJZTll0dVpjTjBIbDQza292STRHa2ZkU1JEazVMM2dGSG43T3d4MUY3TkMxVm8wWGIyY1d0SDJsd2RhMEVjNEFUM2lXNXc1QlhQb25GMjdwanZwRjhsRGJubFZZTUhvUm1mZGtZUUNxcUhrc2pxck0?oc=5
