ticker,date,title,summary,url
CP.TO,2021-03-21,Canadian Pacific and Kansas City Southern Agree to Combine to Create the First U.S.-Mexico-Canada Rail Network,CPKC,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOMjFzclJtb3ZOQkRWeG1XUmh1Q3pBUk1RMVkxWVBFLTFmSHZuOTZqVVhhMEV6ZGIzRUQ2YWZhQS1tSVJxbGVpYnF0MUhMZ1U5NVNzQzdZdU9YWVROOTlsNDNJUHllVzJ1bHlQVnBKMTdwbE0zaXJneV9QeVJXQ2tvN0NUVF9oSGIzTlc4SEJLWll3cGxOZHlGdHlPODhSRUl3azZCUTl2aC10SlZpNEE2UlVXak1LZ2lORVBXLXFCUlhOTERGc0VsSzRKd2JCaXgyMElmT01SOA?oc=5
CP.TO,2021-03-22,Merger will move railway’s US headquarters from Minneapolis,The Mighty 790 KFGO,https://news.google.com/rss/articles/CBMikAFBVV95cUxNWThWNFRraEg3bXpUQnI3U29sZ2kydU4xclBMSkotWlRlQk4wbUotQWZZR2dQb1g0QmRGelRXUEhKRXhxR1p4TVM0YlFXZ0p3V3ZNcXZlYUExU0pHSzY1alZxejltdG5saENEc2NCOHdJb3ZHdFJOT1RTNmUwWkR0YmNWOTFYNWpVQ3pkcWF1LXM?oc=5
CP.TO,2021-03-25,CP enters deal to form new rail company,The Western Producer,https://news.google.com/rss/articles/CBMiekFVX3lxTE9lVmNYYVZBeWVmVkl2UUdzVzBYV0ZKNjM2cG9HRVY0SWZrSmhURHVNR1BEc2FLdXRSemhsal84SHdlQ3dkVFRpR1U3SXZUVUxHblZZUThGeXQyREtneEQwSWtoLTBvVlZRV1BUN2l6QzFTa3FabUFpT0F3?oc=5
CP.TO,2021-09-15,Canadian Pacific to acquire Kansas City Southern in US$31B deal,CityNews Montreal,https://news.google.com/rss/articles/CBMickFVX3lxTFAzNEg4dk4zTnVqZTVEbktIQ3NIT3YxcTRMN3gxb0xJeFo4aG13SHlFdExQLVNQOWFaVTZIc1hycmN6SG5LcEJLWFpfM1ZiVjhCeUh2bW1HZ0l4MmxOcmFLS2tIVEdVQTg4QjVGSExhSDhpZw?oc=5
CP.TO,2021-09-15,"CN Rail drops out, clearing track for Canadian Pacific Kansas City, or ""CPKC""",RealAgriculture,https://news.google.com/rss/articles/CBMitAFBVV95cUxPTTladTRicWR5bm1mOV85SVFlRVhoZUJ2WlBlYlBWMjMyZ2pjS0Z3cS1zTEJWZDRvQmJacWVmUGR6NDdzV3kzUVhudWFrcnpsWVA3RXBaR25Zc0hhU3QwOEgzYTAwb3BuN2d0dUZHWHVaZXBTa3B3bkhqVmhMM3g5NkFDYmU4S1phaXRyTkZweXp1WU9OUlhZbS1WQ3dzNGJtR29FX0hpa00zak5oV0kzcWppZHg?oc=5
CP.TO,2021-12-14,"CP Rail completes acquisition of Kansas City Southern, with integration pending U.S. regulator approval",RealAgriculture,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNNE1iN0txbmVudXNVNmpQdDhOZ2VpdExZU3I0QUd2SVpZSmstRHpUU05XZjhjNDBQOF9wMnVZWWdJUEd5aEd2c2I3ZlBGODhTQ0pJNjZFS0c5bTVGazdnbTBJTzBHRlBEY1dwd3VjRU9yUFdvS3JLVEJlcmpUYUhreThMZXBQRElpRFRDQXFzbXRIUWZ3QzRiZkVYNkhIel9mdHFSUnI4eHRaYng0V1VTd2JSX1FHWU5yY1VjWHd1TG14MjVWRFJEdGRlYVV6VXQ0TkFhajNRUXJwZw?oc=5
CP.TO,2021-12-15,CP-KCS merger moves closer,World Grain,https://news.google.com/rss/articles/CBMieEFVX3lxTE5XdFAwTDUxS05FLTVCOENLdUJWekJacmE1U3g0bHJZS0F0OWJkVFh4MjVfNHRZUzByNWJWeXJSREdFY0pSblpfandtbEl5MmdWanlKclZ0UUQwMW1ZQVFXdktrRVJkeHRBRTQ2OVJiTGZVVFV4blJZdw?oc=5
CP.TO,2022-07-23,What is the current Price Target and Forecast for Canadian Pacific Kansas City Limited (CP),Zacks Investment Research,https://news.google.com/rss/articles/CBMidkFVX3lxTE5TUWZBaGtCSnNEVEN0NWlOZXNwNkFIdnloeUNoQVFDcW5hQTBLZmZMRFFtOVZ3Skt4b2hORVhHZUEzdkV4OWtDLW5ITUtEYWl0WlBzOU53UXBrY1I1eDZUdURRQzkxcDVYRnZBTzZaaDAtWkRyOEE?oc=5
CP.TO,2023-03-15,North American Class 1 CPKC merger approved,International Railway Journal,https://news.google.com/rss/articles/CBMigwFBVV95cUxPcC1tNDBHdHA2ejcxcTBsX0g4dm5Qc1ZiN1F0NnQ0Sy1qYTJvVUhvSWlyeFZTX3k5OERoZDlwMnFsOVZfN3FiMTZ6OFVTbkxkV2hLU0JLOG44RmtOVnBOdFRGRC1zTnU0WE1POTBZblVLd0NIN0NVU25IbnZzQWNiVXNLdw?oc=5
CP.TO,2023-03-16,CPKC Merger Approved (Updated March 17),Railway Age,https://news.google.com/rss/articles/CBMia0FVX3lxTE1SRmJFTWNZanJZbEs2XzFFWWZPalpZQWRuTkVEYTl4VnF3eHg5ckNaOWlyTV8wbDhKMVp3UkFXLW42SFVCSnk3VTlqUjRaUGYxMElJX0g4UjFuakRzLWZ0UXo3cFNMTmVfY2ZZ?oc=5
CP.TO,2023-03-23,CP – Kansas City Southern merger becomes official in April,Railway PRO,https://news.google.com/rss/articles/CBMiekFVX3lxTE9oVmJJRnBrVVZHT2tNX0E0T1NIcFdZMm1IRGNhWG1BUEVfUDRjZFhHM1lmZGNUbUpUbUZaclM1THJlYVlaWXhzMFlPM0xWbkZxdllWdFRUNE1mMzVvWWZkM2xFa3NGbHo3VFRUdmFwUUY0SE11MkFTYm53?oc=5
CP.TO,2023-04-14,Canadian Pacific and Kansas City Southern combine to create CPKC,CPKC,https://news.google.com/rss/articles/CBMinwFBVV95cUxPWGEtUTdGNHYwcWZSY0RCZkxSaVJHcGFFTnhZSVBTNDNjcFktdVkwbHQ5VnpDdlFzWmZpTm1NS0JCcjJMX214X3ZqVXh1WlpBQW92QkhqcTFhY0kyUnpNYkI3a3laMHlxeGlIYTJQdDlCei13T3AwODg5Vm5Tbm1XVENteTJkSktQZ3dkMlRfR2hRbWdJb0x1dXBWdUNZSzA?oc=5
CP.TO,2023-04-14,"CP Rail, Kansas City Southern merger clears path for more cargo, but hitches remain",CBC,https://news.google.com/rss/articles/CBMihwFBVV95cUxQc1NaRlNxeElibW9NS0ZKS1FLWkx6eFFocjNBVFRVRVZGOElCMk84eTZFYUpnTnZnU29WYkpjOXYyLVREYmFzaG1jckNoUTJlRE9veVAtT0tWNlV5TmdDVFUySEVManRONHltVDU0elk5MG53Q0UydjFvODl0Q29MU09fZUdFMzA?oc=5
CP.TO,2023-04-14,Canadian Pacific and KCS officially combine under Canadian Pacific Kansas City banner,CityNews Montreal,https://news.google.com/rss/articles/CBMinwFBVV95cUxPOGxvTnl5STBpM3NUNXR1MlozNDY2Z19jLXg0X0laaXVDaW5fNEVZTU1SQW1halJhWlJEdDdkTG9CN1FHNUpVLXYtMDFiWUJydEM4Z2l3VjdsdTZFUEplTngzQmd0R3ZsOHdiYXB6eHotbmlPaEdDa2tZTGsyWkJNYk8tTXV0MktOY1BVV3VNSFJxdjJvNFdfTFZseHRhZDQ?oc=5
CP.TO,2023-04-18,CPKC – a new railroad as a successor of CP and KCS,RAILMARKET.com,https://news.google.com/rss/articles/CBMimgFBVV95cUxNVkh0U2NlUVh1a3Z5Q09fOEVadkNmTjZnTm9BMUx4WThab3FmY0dwNldDVEFGMmdnQTJtRVJucEFOemRFenVJQV91U2V3OVNQUkF1NU93a21OTDhUYVgzX3JtTmhDY0hISFFmUkhId1FKZzd0QkU0R2UzMzZNeFpfc3VxWHkxQk9ZOFdRLXVtYnlPNjJheXdhS3RB?oc=5
CP.TO,2023-04-27,Grain helps carry CPKC 1Q revenue to C$2.27 billion,World Grain,https://news.google.com/rss/articles/CBMilwFBVV95cUxOcVg3dU9VUXJGY2tJRGdES1g2NmV4dEFwcFRvelZzVktYNlFmeFlRM2RXNFh5QUhiRlhYYl9MUHlvSjhqQVBLd3Q0cUJLOGZQZGpUTEU3WlQ2WXFabDhWYktuU1B6bFV2NFBtV3ZRVVBUN2ZwVFp5NGpKeDJoYXJfREVydjJlVElzZlVmendVYmRLa04zdDVj?oc=5
CP.TO,2023-05-04,Teck and CPKC Announce Long-term Rail Agreement,Teck Resources Limited,https://news.google.com/rss/articles/CBMilwFBVV95cUxNdlZfVmlzWV84azUtQ3E4V2FCdnE2Nk4xZDZKSkQxOEFBemVKNjd1R3kzWFZPMGR6ODZ4bVRYNlFVR0JmM2NZQjJhMFpQeEtrTGwxc09xRHNGVlNob0FJR3JTdmhSVDJfMGJkb3dFUUFncE1rOUhZRFVsWnVod2gwc1FIOC1rUWNpd0dGN1p2ZnNWQXh0U2w4?oc=5
CP.TO,2023-05-17,"Class I Briefs: BNSF/CSX, CPKC",Railway Age,https://news.google.com/rss/articles/CBMifEFVX3lxTE1SUUtOSm9UWEp5eHBhTHItZTZoS0dET2M3WXdDTk1uUF9MaFVJSkRtelFHNzVTa3pSNlNpMlo3QlBtUUFya2FOSDJjMUx2TVpjeXNsVTRJaXk5a1BkNVB5YWJ4b0tvcS1iaXAyYUlNZ01DRW1SUVNfUkNBZ0E?oc=5
CP.TO,2023-05-18,Why Canada's two big railways are livid over Justin Trudeau's attempt to force competition,Financial Post,https://news.google.com/rss/articles/CBMingFBVV95cUxQTlJMYlFvRG95M2RzUm9CV1ZGUFc1VlVvSW9rV1NJUUFleWRtRXVfSUxPeDBpVERSbHJKelBlVG9IRlliVWJXbjJRYnc5TWpKN2tzR0h6NVVFWkdDOTVkTUZ1eUwtby1FWGdzN2gxSEo3dkdtbDk3cWdoVnNJLUZLa0xJWXhfdER5clN4LWNNanByWVEwOGFhXzBpWl9TZw?oc=5
CP.TO,2023-06-02,CPKC Readies The Empress for Transnational Tour,Railway Age,https://news.google.com/rss/articles/CBMinwFBVV95cUxOWERkc3VHQWRPUGhiRWF1SVJod1NpdXlpMEhiQnhnV1V2anA0Ny05eWVaeXAtbWFmZFR2M2VrTHJJbFhvdjZQNW5fYWFJRUJ4T0pzU1JzVEt4N0VGVEx1T3drR2k0dWZtVlhoVm1yQVMwNzBWTjN5SENMbXctUk80NDhPMTVHWnFQYUhYOUNBYXkyQUlZR0thbEhIRXd5dzA?oc=5
CP.TO,2023-06-15,Noted rail designer Vergara offers his take on new CPKC paint scheme,trains.com,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPazZYS2dDTEx3d3R4UVdWckVsX094NjRfcENJXy1Fekt5QTVGY1E5aWYxb2ZYTk5CSkdiLUttbTRjQVhrdk5KbXBiOU1qSFRBbU1ZMndaLWZQcDRDQk1BaHpqYmxwYUFMTG5VT1hoaGY3WlZUS0pJR0xjOFlxLWNtUTNWU3RwWjRiMVFRMXNnOVFhbHFiMnhBN2I5QnBPZHh3R2MzWTVTTFNMb0F5Y3MweUVKa0pOdklFT1Nn?oc=5
CP.TO,2023-06-21,CPKC introduces carbon emissions calculator for its combined network,Railway Technology,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQbVBtbTg5aElEcGhVd0RzWlB0V205ZkNObWlZN1A4Mm1yMVdDU1YwS0hZaFB6dGNBMDRlSF8tRDdzVzByYWtVanh4d3ZZLWdzWWsyRU93LXlGVXp2RG1iZFBwTjhGTDlxRmxpQ01qUzJtQ0JHeUlPbGN1WTBrRDEtaXBTVnQ2VUxRLVN0NEEteU9abnQzaC1lMmtRbEpBYTNRRHJDVFN6aUM?oc=5
CP.TO,2023-06-23,CPKC and CSX announce hydrogen locomotive collaboration,Railway Gazette International,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOM2wzSmRMS2lGQmdOWHlndnk5WllUVVQweFhMUEczR0xDa1dEOVhTejB4WENxLW9mdk1FUmxBb2hoa2ItLTB6WkRwZU5ncG5LUVo2LVBnLUNQQW4teEVpdTRfb0pvM0VYVGEtdmhiZUJ3Yy1wdV8wRWpMb0d3M1d3cmtIaUV5NEF0R2ZyaDNIT3BLSDFhS2ZKSWV0engxeWMtRGhqWHlFclVMZw?oc=5
CP.TO,2023-06-26,Richardson to expand CPKC-served elevators,World Grain,https://news.google.com/rss/articles/CBMijgFBVV95cUxQMUhLWHZjNUdSVTFoaGFjakMxQjZhWFdhUXg1bUlIcVkzcDMtOXB0cmh4bG5tMVU4eXIxNFJaVUpmaUpScWc5Q1pQZzNkVzVzSlAwT2k4dWlVTXQ0Tm5ZOU9MQVJySkd2eHB0YXBsRWRrOTQzNHNZLXlBeVNXQlRrSDNWWkhPS3ZsUTNxY3JR?oc=5
CP.TO,2023-06-28,Canadian Pacific Kansas City unveils plans for new rail network,The Globe and Mail,https://news.google.com/rss/articles/CBMinAFBVV95cUxPWDlkbWFmVHBSdWwwTEtWd1NPVFBCX193WmMyQjJPVmZKNUlENW5KQV8tekFibDAzRndEN2wtZmZieEJObUtZbkF0bnRpbEZHTkVKUzU3TEtIZ3d4dlNraHp1cXlpY3VUMFdmSjNlOGR0T3JvSDR5LTlYanZtb25jeUszeTJLTlBmMFlhMDFXbVQ2WWJrMW02WGhqdDE?oc=5
CP.TO,2023-06-29,Railroads CSX and CPKC will invest in connecting their networks to increase traffic in Southeast,KSHB 41 Kansas City,https://news.google.com/rss/articles/CBMizgFBVV95cUxNYncyUVZCZkVDWTh5a3o1UjVQMFM4Vi1GVVBnd01vb0RBZnhkS24wOWxHVjlLQUQza2dCQUlyLXJVSDZVSjY5cUxEMUl6S0dROFRkQjRnczd4VmtHX2FEb0xVN3o5MGc3SGlac0ZiYTAtSkhReXRNbW04ZEdnRVhiVzhoT24xOEVMZ25XYXZUX2k5WW4xdU53MC1LV0xqd3FoS2dURG5ibEFaTlBRMGQzdjhVNWh4SlI2M1ZHVmo4eTJlOEk5TWhOR2J6emhVZw?oc=5
CP.TO,2023-07-03,New freight corridor to open in the US Southeast with 3-way deal,Railway Technology,https://news.google.com/rss/articles/CBMiigFBVV95cUxQTS1qOGJrN0gxZERUSUtPS3hlZ24wLVR6dDF3VVQ3aEZRY2NrbGNNT0hqNkR3SkFBdG1DOXFYWWFGc0JJdmZTV0psUzFxWDFDNTBjVldQQmx2cG5tN05udEZYbzZ6RE1aQjkxT0F6T1h5RkFDQmg3UlY1WnVuOGt1LW92dkVITkt4cGc?oc=5
CP.TO,2023-07-04,New livery design for CPKC and a new interchange,RAILMARKET.com,https://news.google.com/rss/articles/CBMiywFBVV95cUxNOEtjbnQtalB6bzZlMzNpQ19pLVBqNy1tNzlfSTVEd2U5VHpoSlJJcVU2bzFXM1p5ZmxuQi1zYUw3VTdEM3V3aU5VcVRqV25SMDB5Qll3WVg5WXpQcktFdTRrOG9zQV95RkxJZXZfMWYybjFCS0pEY0lHZERkTjdkWEV6Rmp5MUdBdVd4Wm1ueWkwOFdOVkZOQ3BHTFBpU2hpRzVrcDlkc1NUMVI3QklxWk1scThySDFWQk9aOHVXMHRUQ0ZYeGJfdkZuZw?oc=5
CP.TO,2023-07-05,CPKC wants to bring ‘sexy back to grain’,World Grain,https://news.google.com/rss/articles/CBMiiAFBVV95cUxONVlROWVkcWpSQXhDZ3liRnJCSVM0LVFYd1RlaGwwWXpyYThEVmVQYzFjNWpKUHllTjlCeWdfS1JIY2FKWlMxWm9rZEJEVnJBcmRjLTdZS2RVLXY2SnVTdmhrYThtTlVJU0ctYmpfRWhKZmlWMXhRZ3JVa01PNDJFRDBfVVd3MFBk?oc=5
CP.TO,2023-07-18,CPKC: ‘Final Spike Steam Tour’ Set for April 2024,Railway Age,https://news.google.com/rss/articles/CBMilAFBVV95cUxQVFdId2VFYzJscmFlRE9yRUNNaFdqV2hjcVNwZzJyenZkVmxGUVBGSGpQdEFtWVBvYV9GYVViTERoMDl3OUZla3RjWHJQeUlTcVV3TlN0a2x6MUNGb2dDa3JSZElqbVlveUFpT1Z3dzZPRGFSZTlLT0d4YkdpS2F3TFNmYlRET3dybTA0ajFnZG1NRnFH?oc=5
CP.TO,2023-08-01,CPKC Orders 18 Hydrogen Fuel Cell Locomotive Engines from Ballard,Railway-News,https://news.google.com/rss/articles/CBMilgFBVV95cUxQeEExLVAxeWQtVWd6NzhyY0xsNDg5cENvby1UMVd4MnI5YVRqOWhGMHdsNm9NS3lJQVNoMUtzRC1jTy1LdkRqWERHZWxTRFNRaGZGdDJ5YW5mUHVhQU0xSU4tdFNaaUhOX2pUYWFEOTJSZWVSZEZlVXhwM1pfRUREdlNfbjJaU2FUSlpPdFZsLWg3MEZLM0E?oc=5
CP.TO,2023-08-07,CPKC: There Won't Be A Better Railway Opportunity (NYSE:CP),Seeking Alpha,https://news.google.com/rss/articles/CBMikgFBVV95cUxPRXpKclhTWGZhZzNLNmVGV0Q5SWVuaG5mcHIxQlJUV3BEaEJ4T1dJTy1sTHZxREpCY1RUUzNXOHk1eWlJdjVpSmdlbDR1T3R1ZTNXdGdvYXFkeFpjcGtZNmFvaTBuZmoxLWo2NFdNMFFxMWpRM3UyR0VzNFB6WmxmVG1UVVFIZ2Z4UmNMaEhEZnZMQQ?oc=5
CP.TO,2023-08-15,Canadian Pacific Kansas City: The Go-To Railroad For Growth (NYSE:CP),Seeking Alpha,https://news.google.com/rss/articles/CBMikwFBVV95cUxPTjhkZDZMYm9XOGUxNW1iQ3JXdTVyeFpOcWxCNFlmTmdsZ09NZlp2YlhWczJ6eDRBcHo2WkIxVzMyZEt3blJGS2ZteExNLW0yXy1haWxSUFkwVnVXYVRkVlktbXpGdmVQNElLWjVuOVNhQWhZRnpPcHRZX3EyWG5MQzhIdm9tTnJ2cVlac2VEekZBSjQ?oc=5
CP.TO,2023-08-16,Cando to Develop Battery-Powered Switching Locomotive,Railway-News,https://news.google.com/rss/articles/CBMihgFBVV95cUxOby1YTHdZWmR2azhGWTBoeEh6Z01Ob191Q1BGM1dLN2hyV2g0TTA3dmM3N0d4YnFweHg2aWJES2VQTXpITlphdEZxNjdyZE5rTHJYblF1aU5qUTYxczl0dXRxMkxhemtGUmJDeHRsWjB1NmF1S2RKMURYWHNrMThUSjlFTFFQdw?oc=5
