ticker,date,title,summary,url
HSBC,2018-01-02,Will retail banking shake up Vietnam's established players?,thebanker.com,https://news.google.com/rss/articles/CBMiekFVX3lxTE1HQjlHbGw5Z3BIVFY5eExoU2VkMnRhT2t6M1lPRHZJOVF0YURnNWVVaXZBNnJtMkhJaFFJSktrdV9tT21WNVRLZmk0Z1JiLW51cFh4Ri1VYTBOY3cwZzY5LXZ6aGN4LTFRUnpMd3prN010VjRORzlwV29R?oc=5
HSBC,2018-01-05,Bank stocks lifted,Royal Gazette | Bermuda,https://news.google.com/rss/articles/CBMingFBVV95cUxNenVVLURjQ0xfT0o3M1hhd2Mxb29oa0ttRlRCVlpOMDdoMWZra2dxMmJoSExmcTFwTGoza195bDI1WW03Rl9PUmMxVnNValM0WFZkOG1ZTG1WYk4tcFJFNS1ZZVpwbVI0dnQ0SXMzdUxtbWtKVC1ZWFFxTmpyOElaVi1UbXFoa3dsZGZjN1V2QzlfeDZTY0hsUzNyNlN1UQ?oc=5
HSBC,2018-01-08,HSBC Holdings plc (NYSE:HSBC) Plans To Revamp Investment Banking With Three New Hires,marketexclusive.com,https://news.google.com/rss/articles/CBMisAFBVV95cUxPZjNGTTA2YjFWcnhLYTFtNmoyQlJjMHJqUkt3anU3RFhYVWh6am1lOUI4bS12MUY3dDJxa3dqV1Y4SEY1NERCT3RxWVp0ZkxUcDFmc05Fc1VKTEhjVHN0eFhmQ0NvdUJ6aWl4dV9yNExkdmxzN0dLSUNUOUs5dHM3b1N0ODB3VEF0TGFuQW9Kd3VTbDUyU2JmeXZtWC1yUmFfOWhaeXlvckVsdThlZFBxddIBsAFBVV95cUxPZjNGTTA2YjFWcnhLYTFtNmoyQlJjMHJqUkt3anU3RFhYVWh6am1lOUI4bS12MUY3dDJxa3dqV1Y4SEY1NERCT3RxWVp0ZkxUcDFmc05Fc1VKTEhjVHN0eFhmQ0NvdUJ6aWl4dV9yNExkdmxzN0dLSUNUOUs5dHM3b1N0ODB3VEF0TGFuQW9Kd3VTbDUyU2JmeXZtWC1yUmFfOWhaeXlvckVsdThlZFBxdQ?oc=5
HSBC,2018-01-09,"Goldman, Citi in lead to manage Aramco IPO",The Malaysian Reserve,https://news.google.com/rss/articles/CBMihgFBVV95cUxQYkxNTTZIdEZsR0VSeGI0cjhKWUtVbzNWQWJQSDdJTEdGNW5ka1lNYVVSTkxJM2xHck0zOVQ2T1VQQXp4QjBOTkRQcl9rR0NDUVBkVUpxQVpqSHpzenlPZjRGQjVGdFlyalBQaV9BWTFrZ0p3eE1uYmNrcnJpTUVYTTF0cWprUQ?oc=5
HSBC,2018-01-10,"Hold Ambuja Cements, downgrade ACC; cement cos to report strong sales volumes: HSBC",Moneycontrol.com,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPM2UwX1pOcEoxSmRPVDhpTlhhSjdyN2ZILU5jdUFMMkE4V3R3anE0WXc0ZHV1UjNGMWtzZC1rVVVWWThydmhlQkxLWk41SzV5UEtfbGhzVkNlOFQ5LXlMZkM0Z1czZ1pIakc4VEdacmwzSG5ic3BxV3g5YzdwbXhOZ2h4WXlDbjRyMXp3T0lIVFhPTkEwMVdkb054OTRJaXgwM0Myb2RqR05WNElyTHQ4UnRkOVQwZHB4amxnYjhqc0F1VURSN25SX0pEMXVBaVVTWVJURWd3OFlDcWPSAeABQVVfeXFMT3Jib3BsamMtMzRxSGVFYTJBTFVzMU1HTWhON2J5aGZqcW9YT0FKdjY0NmxBdGY4R2pETjhuUHJLb1drcFZVcm5lNWVGcldpc3YwUjBrZDBBVkNOc1ZYUzRfNVJpeDF3d0VYQ2NQcms4dXhoc0hKMWUteVhab1l5a1BMSFJ1MmZ0RVItLUcwTHI5Q2lWSTBBeWdsRHVSMlYtWkoxbEpHbjVnWmJLeUo5OHBwdjI1NXNUQkdsNkl0cFZ6dTB1cmdPU3RaRU83YnFHSEFXRjhoWmRvdzZkY2t5NTc?oc=5
HSBC,2018-01-11,Frozen assets: Big Asian banks battle with China Fishery,AFR,https://news.google.com/rss/articles/CBMiowFBVV95cUxOQndKOEp4Wmg5bVFScGRvRmgtU2dDdlJyNTRtYVp2S0Zzd3VrLUpMa012QTNPZjM2RzA2VHNOZ29UbDdFU3JkNVZiYnpkY3E1cS1nQ09wVERWVVhWbmtzTlpiVkFNNFJNNTZ0UHd4SXdTcDBlb3drN0xCWTN2alBneHhPNGFaWDJWZ1hLY0dtUDFlTndCWEJFLTZsZ3NIY0VCYkgw?oc=5
HSBC,2018-01-11,Why banks will share your financial secrets,BBC,https://news.google.com/rss/articles/CBMiVEFVX3lxTE5DU0k3enk1Ti0yZnNHSWVfXzF3U05XdzhLemczc1lRMzVqNXkyaGFVa3A2M1N1SURrY3NpRDJWbThuNDE1ODAyS09IaDFlelN2VTBNeA?oc=5
HSBC,2018-01-11,Here's what 13 Wall Street pros are predicting for the stock market in 2018,Business Insider,https://news.google.com/rss/articles/CBMikgFBVV95cUxNTGw4MVVGUHJYRzU4N2x2N1hFbEU0ZjVxZE1TVVFDTXIwZjNLZkgybzg0dWMzai1PdEs2UVF2SzZsLVk1MGlBR0g0OEpLb0txRUhLU3VCWXRudDYyZ1EtNDZkbG9Lb3lfUlRmSUJDemh4ejloMy1fdEl0dkswR3FqNjRIOVpNZ1JnaVpjbktuY3F4QQ?oc=5
HSBC,2018-01-11,Middle East region’s investment banking fees touch $912 million,PressReader,https://news.google.com/rss/articles/CBMie0FVX3lxTE8wbHljWmMycFhLTmZCSDRISXVjZWRFa1Rqak9pZ2w0VDU4RjBRR0xlT09tS2NjSU5iTGduWUJZNTJSU05Oc0xoZnd5a3dCbW9BcHE4QVZLMmktbkRGTWNqOXJkMjFnUG95VGczNlN3c1d5N0JjOFVqY1IxQQ?oc=5
HSBC,2018-01-12,HCHA ETF Price and Chart — LSE:HCHA,TradingView,https://news.google.com/rss/articles/CBMiWEFVX3lxTE4xNlJ0ZGhBYmdfLUN4bFlSSVNwVDhxanZHUlNURXRWMjV0d2VSY1FBT3k3QnFzZEZ0azdrWmhQYUQxbHlYcUx3Q3pIUzVPTnkwNEY2RV9CUW8?oc=5
