ticker,date,title,summary,url
MFC.TO,2018-01-04,NextCapital Raises $30 Million In Series C Financing,PR Newswire,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQWGhoV25GZzZycFo4dEJwWTFuWTRlTlFLRFZlendYN0VxSTluVDRKdjZBUFNxeHlMcnpIOGNGa2plSDFQU3BURmg3YkFNZno2MGlMLWVneFR6eEVheEppbGxMaFRUZmdRSHJ4YWNWY21ZdFBlNU5vRlN5dXBLUWZrY0dMUFoxby00Uk1iU0pWTUJPLVVDWVlJVm1oWFZ3Smxrb0c2S3hiSV9zOG8?oc=5
MFC.TO,2018-02-03,Technical Analysis of Manulife Financial Corporation (TSX:MFC),TradingView,https://news.google.com/rss/articles/CBMiZkFVX3lxTE9sdmFmREIxa0kzWlRSalBlLUNDQkJ2ZXFIYzZsVXZrX2tmSDk3U3hMUWtOczBaNnN3TlM5dlZva0pJWTgxbjl5U0c4MDRtbS0tTUEwWkxKM3I5WURuMU9YbmdWWjRiZw?oc=5
MFC.TO,2018-02-13,Financial Advisers Share: Biggest Misconceptions Singaporeans Have About Critical Illness Policies,DollarsAndSense.sg,https://news.google.com/rss/articles/CBMitAFBVV95cUxNdGNHelpBYVN3N1hIdXZfWWVqdnRLTzRTYWJfcklVd3I3Y3JPWWhzNjdCVFFiRTlwcDFiSGVfNGp2M1dMSEFJYkN2TUc4NDhOajB4Z2RBVmhLWVkzaHk1aThZdml4Z2JtV3M1RzJXc1F0ajhySnVvaWM2MUtfRjlSeldPTjJ4WDJpNW9Gdld3RzM1SjJqOHVHVVpWX1Ita2lSQjlnaHIzX3ZnU05MeGl1aXUzYWw?oc=5
MFC.TO,2018-03-14,Top Canada Manager Adds U.S. Industrials in Manulife Stock Fund,Bloomberg.com,https://news.google.com/rss/articles/CBMiswFBVV95cUxQaTh3OUFsNjhCR0ljTGc4bHh5M2V0T1JRSE1QYU8zZVBzenVoNXV4VGlTZ3E2aUZyVWxIcnh6b2h5MjNxZ25fbnJuUjlFU3RCY3Q1dnloVGNxdU1oVDktSjJGNlB0OXVmeEJzalpVTXBtTkJrQ0VIdVIwcjZlR2FDdlZ4VzlzV01xX0VUa3NBQXJwaUo2MjBOdzZpdEs2Umx5Y3BiNlVON3ZxZmFLWUE3Y2lwYw?oc=5
MFC.TO,2018-03-23,Manulife mix-up: $170K retirement nest egg transferred from account without warning,CTV News,https://news.google.com/rss/articles/CBMivwFBVV95cUxPSFFSYlZwVzVKUW9HS3RFTVlZQjVoNzBCLWtWMWVXSUY2R1poejdUeWw0cG15bFI4VmNhQjFOVGlpZm5FeXQ3SzROSVJvV1MzNkRROW1teExHMnNhTnl5VzQwTTlLd1g3enpWTWZhTzc0cUFDcmhoUjBCYnNHWU5Gb2liUzZ2dHhuR3FvQ09FMkkxVk9Qa2t3Ykk0WXpheHlrU19LcTdaWFktOExnSE1Nd0JWZ3lHY3pGckQzaGlrUQ?oc=5
MFC.TO,2018-03-27,MANULIFE PERFORMANCE EXPOSURE TO INDONESIAN MANAGEMENT ASSETS,ANTARA Foto,https://news.google.com/rss/articles/CBMiogFBVV95cUxOWUVGZ1BzSzA3cGR3MU94UERPb00wbmlyQmxiZTVmR3BNSDBlOEx6SzRDOHdoQVUxRDFvYWowQUlld2VkTC0zUlcySXhUUllzaFJBTkhGTWN1QTdoQm1jQmhfaDdiS3UzQ09BU0JRVGM2cXNYajB5RlRLNWNHOWp1SUVBOGp5RHRyQjBkMUxUbUMxYjltaV9zMlJuUlppSk5lNWfSAacBQVVfeXFMTlQxSzdkcmtJaWMtSHMwOHdwZDVDZzVSTWJ2SUpINExmelpvUWt1T1NOQlV5Si04X0tkLVpJcjU0ZmFQRUxINW9lNzhkN1k2V3hPZWJ1Sm1QcmJRRS1xMnhGOGVFcV9iNm5GakVxVnV6MGhYZHB4QkprV29SUW94MnVjOS1WcFBxbVBRcnJTNWRSNUVubWFhdERCYXVJaDVxWldWeWtWVGc?oc=5
MFC.TO,2018-04-10,"Canopy Tops BCE, Manulife as Marijuana Stock Trading Ramps Up",Bloomberg.com,https://news.google.com/rss/articles/CBMisAFBVV95cUxNSUdPUGhWRDdJTTJ1d29kMG9QWWk3blczQjM4bEFrU01NTW1jUW13eVdEbTBRV01mSUZ2bTR1NmoxVDZQR3Y4dloyUGFVLTFraFNmMms4WWhqX2pxT1djdFctX0Y5a09GbGR1ZmItT2xKNHgwQjVZa25rS2RpZ0lCRlUwdzktdGloOGR4Y01uMzlPaFgtdURadjBTYklrUFJQckp4WS1Dc3JiSnAxRUZ3bw?oc=5
MFC.TO,2018-04-20,Entrepreneur Michael Lee-Chin files lawsuit in Caribbean garbage-to-gold project,The Globe and Mail,https://news.google.com/rss/articles/CBMirwFBVV95cUxQTHZzMHRWR080a1BvcWJtSFprZlh1VWVlLXFNWC15ZnB6aEZIOVNSX0IxM0hZM29KcDhjanVjb3FablFLUXFSd3QxeFFjdmRMaVFuZmRxdXRlb3FnLXFrZURHY1psVzh5alVlXy1XMldmZUJUbmh1bjgtNkk4WWxPcm05b3FaVHI5VkhYTVRHYkhEeWVQNG9ablFzbF8td1lzQnhJeVRYTV84X2VRVVJN?oc=5
MFC.TO,2018-04-29,Indonesia's worst route since 2013 ignites age-old debate,The ASEAN Post,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPdEwyYm9aYTRuZ0lfZ0dQZDJpaTRjUlhhV3RET0FCc3lWcVpLMXdiNEwzcWVaZkRqQ0VkdnNPRDVHV2o5bDFKR0g2U1N2dkpQa0JSZ1cwYjNwT0haV0xSRk1KWjdYaVhhT0NyQ3VDTDJaZGZlQVh5QXQ5RmhCbG5LNnpqcjhLWERCVi130gGQAUFVX3lxTFBlRlRzM0lhTHZQN2hpVGFMbGNLYTVvVlg5QS1mR2Q4MzlRQ04zbXNNc3ZMYzFZYmpRNmE0UVBEaEg2Mk10clhPdzBOMk11ZnNfSDZlOFVreUhyWEtfNEVVbERwU0NsUnRjM1gtdjh1ZWZ5eXRMeG9pN25Wd2gyTnJiYll5TkFJNkJOTVRVaWJzag?oc=5
MFC.TO,2018-05-16,Would Investors Buy a Canada Post IPO?,Yahoo! Finance Canada,https://news.google.com/rss/articles/CBMihAFBVV95cUxNTzU0R3JybGZIV2R1cUdvdUZPam5pdFRkaDRmRUVLZUI4V3BGeXhCTFBkdUVYQkNKRkxhQUZ4SjB3LU84Vm1najFENnhRX01lSHRvWFdScFdjNlBuNmJ5T3RDRDd0RGRiNDJtellmQ01vOW9yMktlVEtZckgzaXNFUnhzSHE?oc=5
