ticker,date,title,summary,url
PDD,2018-07-20,"PDD: Pinduoduo Inc. Latest Stock Price, Analysis, News and Trading Ideas",Stocktwits,https://news.google.com/rss/articles/CBMiSEFVX3lxTE5rSXJYeGhWQ3lzX3gwTnBBSktwZ2NIeXRKSnhVem10Q2x3WG13ZDRpNmhVeWdHWHR2ckVYb3FfRG1tdnA0N2N1Ng?oc=5
PDD,2018-07-25,"China's Pinduoduo prices U.S. IPO at top of range, raises $1.6 billion: sources",Reuters,https://news.google.com/rss/articles/CBMiygFBVV95cUxQWXlTLXJuX0h3WkFza1BBV3A0cC1qUThGQU5YWldNSFp5MUljVGxLZVE5S0ZTYU1iSmh2Y01DLXBVeTNPVng5Nm8xaTByLWpjV1VybXAyV0ZJUF8zSFhLaTU1b2VHTG55LTlCYU5mMS1tQUt0TjJ0ekM4TnAxLVB0Y1ktcFdVVThja3JZb0d2U0w4eUNGZ0tGT0Nwd3BKQ2l3aWlBYTVNMjVsXzd0YjhqNFBmWksyVnN5aEZsOFBRU3llMjg5M0FPZGRB?oc=5
PDD,2018-07-26,Pinduoduo debuts on Nasdaq,China Daily Global Edition,https://news.google.com/rss/articles/CBMigAFBVV95cUxOeEkwbm42T3VZWlA4ODNtaXVNVko1OWJnbjVHSHhVeHZQZVJhNmRQOGMzZDA0TW15cGFxQUxkS0tkMTJpU2MycVFON0RiZkNYRENVZ0thSEZqWFBkZFdycDhDbzl6NmI4dkVtcnZNOGl3T25xYTdNRnZ4emVlcGpCMA?oc=5
PDD,2018-07-27,Pinduoduo ADRs Soar in Wall Street Debut,Caixin Global,https://news.google.com/rss/articles/CBMimwFBVV95cUxOYUhrSHdVMktGbUc0aFpITEIwM1hqbnpGSVJWR0YxbXJUeXY3OVZTVVhXSmxXdU9zZHZVTm01RUpGSTNKYVRON3VqOTVJX1pRRmh0bnhPaW5sVk02R0Q4ajBYSWtXLWh4eFRYRV9VR01ZUWdxZ1RrcnZMS21IODY2czViMEk3Wjd4YjRXelhHb1BzWTFhRHpSS3MwRQ?oc=5
PDD,2018-07-29,Technical Analysis of PDD Holdings Inc. (NASDAQ:PDD),TradingView,https://news.google.com/rss/articles/CBMiakFVX3lxTFBDejBPSWc3eGg3RTEwOGtSOGs4eUVXMk1pbzdfQ1FQbWRPUHhTVnJhYTBYRTVWc0xwOGR2TmRnSFQxTE1mYWtvZzAwbVlGa2RCS1Q3WW5UanRmSmFFdVdVMVc1TkhNQzU5cXc?oc=5
PDD,2019-03-13,New China billionaire drops US$2.8b as Pindoudou shares tumble,Yahoo Finance Singapore,https://news.google.com/rss/articles/CBMitAFBVV95cUxONDBtNUlXTHo3eVctZi1qc05QRmZIbEJPdlpJQllNWEN3cTZDZm5YVEJ4Rlp3SVNpQXRfYVVoenhJb055WEE5VTRDVDc4dGtBeG95SEZkOHNKc0pNeXYwM2pocE1Iek5NMUdqVWlUb1BVbDBSWWdzVFVySThwOG83ZEZGSklYb3JaMFkyR2hOdE90a1ZjdkJQV0NMcDBKUHNOTF9PbmVxbU41WkNlR0d2eFRnRzA?oc=5
PDD,2020-04-21,"Everything you need to know about Pinduoduo, the fast-growing rival to Alibaba and JD in China",cnbc.com,https://news.google.com/rss/articles/CBMikwFBVV95cUxQRHNWc3U3TmNqMFl1eU9JMzI3TWxQaGw2anJXcjJ5blBoSjZBSE5FSWNDMmRSeGQ1ekU3ZEYzeU9pTDZfemxHVno4UUh4cG1rZTQ3bHppUlVaWVBuU2VkU3BrWUVta0RCRWxnZkkyeDBhME5jSHpGY3RPS1BmX0pOMnBrdkZxOG1LYW1KT2w4dGcwUGvSAZgBQVVfeXFMT2wtVFlYb1FwUDctMnVjTnpYRW1MTFdBalZmS2pDcTVPTmNMck1objIxVWQ2cktVWjM1OXRvRGQzbUhnUHZqN3R0SjFHSEtLTzlHSFpiYmI1czBXZFNOdFV4VG5odEQ3c21qQnBfcXVXLWNJYjJLUWhhcmlGbEU0SVFnUEt0OEVZdE1MYXJlVkU1SmFKZmFIWWg?oc=5
PDD,2020-06-04,Why Pinduoduo Stock Gained 41% in May,The Motley Fool,https://news.google.com/rss/articles/CBMifkFVX3lxTE14OVRNak1CZE9ZeHpBVk5YZEk5NTFYR0ZKZ2RtMzgyNHlicXhJVnotVERTTWZRYWpTU1dKTGY4cE91MkxZbDVTM2VqZjFWWnZ6NXd0eE83RTRJZzFZUWRKbDZ2RHRpVVllZkVOdS02NGpDLWk1RG5DTFpreGNVUQ?oc=5
PDD,2020-06-24,Jack Ma is no longer the richest man in China,Fortune,https://news.google.com/rss/articles/CBMihgFBVV95cUxNLWhKQ0ZOeUpDQ2tCV3VmQUMtM19ZYkV0blNtOW1BR080dlF0WG9ITXpDNkJIRFdWdHNidEIwNFFLTFlaQWRISF90a0NuTXlRbGZvQnkydHlTYVRkbU8zLTF0VThfWUlqTzNINDg4ekZmMk5MNnI5VzFNV2hCdlA0M0EwNkNpQQ?oc=5
PDD,2020-07-01,Billionaire Temu founder's reign as China's richest person is over just weeks after it began,Business Insider,https://news.google.com/rss/articles/CBMif0FVX3lxTE1DTW5kOWZvNmwtRVNEUDdUQ1pxQ3ZyRzNxVDRNa3B5MmVQOTVLSVdTUGZBZWlKVXhPaGdpOUdvNU1BSmxkX3Q3TzlXOF9BWjQzd3NUMmI0NE1wOU9IVkZLWnZpUV9YVkRPS0R5Y0Roa0ZxVDM0THl2aTlSUUxxY1k?oc=5
