ticker,date,title,summary,url
RY.TO,2018-01-02,These are Canada’s top 100 highest-paid CEOs for 2018,Macleans.ca,https://news.google.com/rss/articles/CBMimwFBVV95cUxOUFozbTNKOFh0dGlmZGwxVTRYbXNtd1Fndjg5bFVQNjFoeldqcXJ6M1NlMjdDdXc5ZGEwVmY2UnlYek9XQW91VnU1dEdQZVVFN0M5TUZQVVk2MEtFN0dwSE00RVdFM0JNaklMMTNpdU1OTTRfanJJYVFXcmxIVVoyX3FETVoyZWtnaG9tR09KRm52Q1BMcVlZanVNUQ?oc=5
RY.TO,2018-01-03,Bitcoin loses dazzle as second-tier ‘altcoins’ catch up,The Globe and Mail,https://news.google.com/rss/articles/CBMivwFBVV95cUxNbHAteUoyWEswZ0NPZURpSmhBc0FCdHMyMGN5eFZ1Z1ZVMVBFdDZ3bFVjeEgwMWZRX21GQ19pb2twWkg1aWc5M25yTFNEVUNOWTE3RXhPbk91Z0RkYUhlRWdJYkExS2YyTTlNZmVyN3dGNW4wcG1sbHJZaFJSWm1Qb19ETWtEZUNrNGJ3Z3RFamRHbVBDUDZnbDhDdzNyMVRJcHlBV1g5c29BUmRWOWJZYzA3R2hQcjl6aVdITUxxWQ?oc=5
RY.TO,2018-01-04,One stock analyst's $10 trillion bull case for cryptocurrencies,CNBC,https://news.google.com/rss/articles/CBMinwFBVV95cUxNdzR1X1FtenZYVFJuZW00eGVnakNaU0YtRTNGYkx6ZTNsMnpWclBOVlNZS2VTZG50QlNhNmZwZ2tJLXoyb1hkcjExQ1I4UjU2dzdDdl81eG42RWVZbm1FSXRXdC1rOHpGZHdBUUg1OHNmeTVoNlQzZnBIbl9fc2RVN3hrT3ZpYWlwUXRRTl8yY3lkUS1vOWN6VEpDUzJLRkXSAaQBQVVfeXFMUGpDa19sa1psU2czRS1QMVROVEs1emhMN2p5RGFHX0xhSFJ3aXR0b0dqeF9lSkQtTFVUWU11QXhjUDdWMFRHX3pjOHp0SkoyZHVndzBCQzNHQ2I4QUIwU2dmLXBWdHRJZ0s2bmFoaHh2U0c2cHgwYmxMQkV4UkNlYm9wN1lMalU0OUg3U3k5c29ZakpYUG5nUnBkeWZCWUdpb2Yzazc?oc=5
RY.TO,2018-01-10,Britain's FTSE seals new record as banks rally,Yahoo News UK,https://news.google.com/rss/articles/CBMimgFBVV95cUxQVjN3d2dSMjRBRHdXRkFxZmhWaHBvTmlKdDJfdjJwNklDVkdZZjVCRzFvZGJXX01RNWRZTWRfYzZXYlZVVzg1Sk12bnhnODNScWs5WHc4TEhGZThZa2NFa0pSejd1NGxKMTk1QVdPSjc0NXM4WFJkOS01S1IzYnNSaFRTb2szRmh5NG5UZlo2NXBUempmU1R5ZU9R?oc=5
RY.TO,2018-01-16,Calling all future Olympians: RBC Training Ground expands nationwide search,PR Newswire Canada,https://news.google.com/rss/articles/CBMixgFBVV95cUxQMThEMXBpRGNfeGJYQXhlTXg4OVVWanN4VmQ3LTU4dUl3VFRyS0pGNk9OOEZveVJrZXdkVGRKYVpvZ2ZQLVdEaHd3QXRBdl9PeEpmNzl4Uk9xUDY3T2N3eTJxOU11TnlSeVZrdDNra2Y3bUVjMFRtWEgzWnBkZ1NwenJ3V2dhdmVTTHZnSDM2aHZUbE5PbkJTa1BlMWFhVktJWXQtSkNtVERjYURhYzRHWUF0QWtPSzQ3Q1lmWGtBZjdfTUZkRWc?oc=5
RY.TO,2018-01-23,Weed companies still struggling to get loans from Canada’s big banks,VICE,https://news.google.com/rss/articles/CBMiogFBVV95cUxQX1FlQmFDTWxmbEVOdUlOUWV4dzROT1h1VFFTUkVLak13cDRHc1JqZFp3SzRrQ0w0T0EtU1hKRENra2tYcElRUl95WWl1OURCd2VFdVpKeUZ4WmhBLXUzNzlZcEloVExNSkRoQmdnZ2tLMGF2d1RJdHBoLU5GQW56Q2JkV3QtcXh5eDFDazhINDFFaVBXelRBOC0tX2VWdHdvdVE?oc=5
RY.TO,2018-01-24,Leading stock exchange analysts depart from LSE broker RBC,Financial News London,https://news.google.com/rss/articles/CBMilAFBVV95cUxNWXJoOW1mUnlHWkNiUXFyQzJVLVBSLTNlSEt3ZFdaT1I5dDFEME9CQ1F2YVlFX0o4VERZVkdLUTA0dHBUZ214Ukh2VUZjZ1FLdXNwLWFMRG5xcFFpRWw2ZzRlc2ZGUGRCM09pQkh5eEV5ZTRIVVVWVjhIY2FXUWlNSTF4V29aWWd4Y3NxSnRETHdEdTVD?oc=5
RY.TO,2018-01-26,"Your questions answered on TFSAs, dividends, worthless shares, and more",The Globe and Mail,https://news.google.com/rss/articles/CBMizgFBVV95cUxONlhHOHNuZ0x5dTBFMmhkd1RrMVd0ckE2UjFodDdRcnNVWHRYUlZCd3liMEVxWmZSR2dtUUFBdkxZYkU5N2xfaGNWTlljcFFXZld4cXRIeVk0Z0sySVJmTENORExETGdUX0ZxVHctSlZFMFlBc0hJT1E0WGFyMTF0YzhXUUYtX2FQWkxHVF9fUEtRUUN2SXdna2xpVS1JVlpQQW9uZVJLSm0xU2dnRUVzUHFtNGN2WVFWS2FobUdmVWNIa2kwdzROb0RQMk5mQQ?oc=5
RY.TO,2018-01-29,Former RBC Wealth Chief John Taft Joins Baird,Barron's,https://news.google.com/rss/articles/CBMikwFBVV95cUxOSTNidGp6VXNDaHB4RkZTam1LS2ZwZU1Rd2tXang4MXJUMXUwamxlSk9LUVNoX2l2bDB0Q3IxUUJvejNmaHJHN013bDF0ajVmM2VJNHZpYXBOR0VLN0o1am1OU0lqWHFhYi1lanRWZDNpRXNGMkRrdkt6Q2xZMmxhbEhkcXVOdWlvcWhPVmczYzNoTEE?oc=5
RY.TO,2018-01-30,How TD helped Canadian Natural pull off blockbuster purchase of Shell oilsands' assets,Financial Post,https://news.google.com/rss/articles/CBMixAFBVV95cUxPSDdISXVZbDI4SHBfTTJjckE0a3lXV0hLTmp4WV82NmtKR2VvM1RuNXd3OTV0ZG0wYkozM0t1cGhaTUpqWjV0THNHdDlyWllKZmQybjNCdnpmY1JnMTVoc1ZZX2doQXBmcm1PY2wyM1p2eHFUeldUX0g1SVdYZW1qVlNCUHZUay0wM3NmS3RPQkFKWXo5b3JhUWhxTFVONWZuTm5Ib2tKdlNMZG5QaHlhQlBoZm9oSW5RMTg3bGozNHpCSVVr?oc=5
RY.TO,2018-02-01,"Morgan Stanley shares fall for a third straight session on Wednesday, bank to decide on Brexit personnel relocation early in 2018",TradingPedia,https://news.google.com/rss/articles/CBMi_gFBVV95cUxOelZNRzl1R0ZWek9xLXRpcjhmRkJ2VVh6SU1mT3FaUVRraW5taXRGc1JQSFdscHZlbnJRRnNpdUxjNU9WQ0xZcFhmVThINjBaZXJxRlQtMC1nYnFqa0ZWdnFNei1BTnJhN1NVYVVzM2xKZUVidGQ5VFpNR2F2TnpwaGtHVnBleEctdEdUMWJOSERGTTRDSXYzWGRDQjlaalpUUVFram5GTnV0R2VxX0RJcjVDc3REMmVpZjBNVndmd2pFbFVrellVOWhyYkNFMko1TF9YUkR4VXV1bXlTbGJuWDJHdU9JWlB2Njl2eFdBWWVweEgzbkotZlVCS0I3dw?oc=5
RY.TO,2018-02-01,"How Canada’s economist at large, Philip Cross, is investing his portfolio",The Globe and Mail,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPaVlNV3phcmdBUDBDWmRiM0ZaWHBzSkliYThFMmswUjgtTTJCRzVWZ0Vya1BubDhtWmpINVlnWFhDNzV5eEI0OHhZbTV6aUhMbHhoSHA3bVljTHBLaXU1MnhrY1AyS2Rta1hnbmNXV2RjTC16bVdjTnp0WkZJaVJOSGxUWmlrWnlFdkhicHQtMHc4WGN2Yng3TzJITXRzRXFta1JBV0pmb0ZERzRxRHh6MjNsY3QwZFJQQ2txREREMnUzYjJjQXhCUUJUem1YZlVjUXdoVEVSRVMybjU4OXlDSVNaR28tQQ?oc=5
RY.TO,2018-02-02,"‘Grads only’, RBC boss ‘uninformed’",tribune242.com,https://news.google.com/rss/articles/CBMigAFBVV95cUxOR2RwZDFkRHRNZmRBOXZVWnJKUDZ6SFdnODdCMVJTdEJaajRSTGhOUW1HMEhtMkIyVEh6VVVjNm1yYkYtNnp4Zk1rU0IxcEU3T09IS25zVFRmbm56UjNFd1l4WFdWTVZyZFdnRE55b2Y3bVY0aWF6UExsSWM3NWFwSA?oc=5
RY.TO,2018-02-03,Technical Analysis of Royal Bank of Canada (TSX:RY),TradingView,https://news.google.com/rss/articles/CBMiZEFVX3lxTE5PMVJ0V2FoTDdZdUFRUWwwaHYyRHprdDB4SVktNlJrTktwTlQzUmZ0YXFzOWRSVXB1TDJQM1pLdWRrV3VsTzdPMHVuV3BtYjBkNTBtVTZXZjRkbVlzTTZqMHlqMmc?oc=5
RY.TO,2018-02-07,"Noted banker Egizio Bianchini exits BMO, shaking up mining shop",The Globe and Mail,https://news.google.com/rss/articles/CBMi2AFBVV95cUxOT0RBRTFZc1hMeFk0TFdCcEFxaHl1Z2FzYUpLdUVtN1A1a3pCQl9WcFh6cUhSTE45a3BNaEQ5NHVINXRTZ0FscGp6UEhHSUo1WkdmSnh6a3VSZUtnZnAxRWlhU3BPWk13Ymt5MVU5T2hlZFdJZk1fZGFJbWJObk8ySGc0cVR6cU5hYXhHMDBhTWVpZWZUZVFUSnhuejhNR3FqWWw1TzlQV3l6ZzZNMmRCZy1pV3IzUmFwLWhTQ1UtV3RadWxNa1N5LVZiMWtZVjNRbFEtZkVianE?oc=5
RY.TO,2018-02-08,RBC forces CERCG to mealy-mouthed apology,afr.com,https://news.google.com/rss/articles/CBMikgFBVV95cUxOUEhSSlc0dlAwZTBUTDBPRHAtRW16ZWkwcU5GQkw5ZTJhZVFnNkhzRUk2cHVHdm92Y3NTcEU0N3h3MXYxT1h6UUVtXzFVZUY3OHFqSXVGVjFSRURWd21MQ3Y1U0RHN0JuMG95RGE5MjBDd1JFM282Q1FRRTFuZngxRm15OU03am5IRXVkcTNJZ2FTUQ?oc=5
RY.TO,2018-02-16,"Air Canada profit climbs on record passenger numbers, new routes",The Globe and Mail,https://news.google.com/rss/articles/CBMiowFBVV95cUxOU3ZKR0tvWVR1dWgzTXAtamNDSU9oSVl1eUdYS2xlNVhDd1pSN3V5WTgxMmpjQWc0bmZfUnZlc1NXY1NhOU9DR3M5dFUzZG9MYWwtU0lEWnZ2TFp5TWJEa2llMWJSbVdFZnZVUWMxLVJnU3BWWUJlUlVSR2hXQy1NemlIREhwNUJVdWpNM2Nrd2NEcVdLN0NneFZ5MVQzUUZlSldN?oc=5
RY.TO,2018-02-16,Which online brokerage is best? Rob Carrick ranks the Canadian firms,The Globe and Mail,https://news.google.com/rss/articles/CBMinAFBVV95cUxQcTNJdE92aExiZHZPRUljLTJDSmRzS0c1NFA0RkJlamsyS3FzWG9kN1o3alpYdC0zbFo1ai0wbDhKdmxaazBWR0t2R0ExS052b1RPQkR4aUhXYVZyV1VtNDJkbjFSdFVYY0dkTm5ralBXM0hEMHFnRlZLU0xMVjhOZ0J6NUpLZmpzcEZSdmpYZEt2QnBTTzJjb2lHYXE?oc=5
RY.TO,2018-02-22,Hot shot traders used to make millions—now they’re being replaced by computers,The Globe and Mail,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQSzZIbGhGUm0xbDE4bTdkQ2ZrY2JCYlJaR0s1UFN3ZUxiN3k1NzY4Y0t1Y1oxMS1IUlBzWElIVVhqR0FwQThuOXl0dFdSYVZkak1wRkhVb3F1d1ctY3VTZVdVYVRRZWpRWmlaM0twSWc2anhxUi10Z3hJajZmSjlwNndOaF9idE9hN3ZBSFN2UWFPV1FZR19Ia3Q0eVVrdmZKSmNiS3Q1dWNwTElpYVFabkd1MnlfMmYyMGhxWlVvVFhKejMtU3dvSg?oc=5
RY.TO,2018-02-23,"U.S. tax cuts weigh on RBC results, but also lifting U.S. business",CBC,https://news.google.com/rss/articles/CBMiZkFVX3lxTE9uMy1rdnJnMmpjaEFLaXNDZWJwaVdRVThaTElYT0tkM2JxeWVfRDJKSm5CRUlvaU05SUVoM29pZUhCcm9uMmJqLW5UNlNSZmhyVTZHaHd0dWJVenBHdXJlcmIzVW04dw?oc=5
RY.TO,2018-02-23,U.S. appeals court revives Schwab Libor-rigging claims against banks,reuters.com,https://news.google.com/rss/articles/CBMivwFBVV95cUxQWjBMZi1RUXhVNUd5MDMzSUxfRmM1VkVXWTJOOGlONmFBd1o1cmcxZjVsVGlyTXRzWjU5bllwY2JZZFpnUzNQWG1ZX2tZOHg1cFhNMjlsNWxLNWNBMkwxa2ltMUU3bEJ5dUYyLVQyd1JWRFNLMDZGSTRsS0dlMl9WUzlxT2ZwOUhybk9BcF9aVGRPS1Q2OGN5bzZPWWFIZjg4OHRHSnpmTmV3eERzQlh2VEdWYVE2ekd3ZGRkSlN5cw?oc=5
RY.TO,2018-02-23,Royal Bank of Canada Boosts Earnings Through U.S. Capital Markets Push,WSJ,https://news.google.com/rss/articles/CBMikgFBVV95cUxOTVVpd05aQmZKLXFjYnJzZFpscTIzaDNTcUJOV2QyUkdNWVk2Skl4VU83YmtkT1pJbzg3QjFBRXNqLWJyaHNaa0UyTXFWYUlES2RmdkwyaWh4WWpKdEhYTEdET3h2dWloaUFnTDNhVXpXN3BNNkRnSElNMnhnd2ZHOFBNS3RYNW8tQ2gxXzRYWEVUZw?oc=5
RY.TO,2018-02-25,Some Major Canadian Banks Still Allow Cryptocurrency Credit Card Transactions,news.bitcoin.com,https://news.google.com/rss/articles/CBMijwFBVV95cUxNaHVnQzY0U3RJQVUtOHRNRVNmN2VKNEQxZUFiX0Q1MXhFV1FlMkZva1FUNE1PV28ydldqeDRaX1NrVXcxY01tblhIUERBQzNGWkRNVW10cGJqazNOaUxVcERwQ1lZMWJvdU9YNGdWM0lzek0zQjBBQ001bjNnNlhWQS1kbFVlTjFsckRmc0lHWQ?oc=5
RY.TO,2018-03-01,RBC reclaims title of Canada’s biggest bank from TD,The Globe and Mail,https://news.google.com/rss/articles/CBMisgFBVV95cUxPclVqTHdFSkZjNjQ3dUtlczhDaVJWNmlvN2hiY1FNWU9SVmplSVh5TU5ReEhERnFjS0hyUlhmbm5IaXoxNllsbWRlVjBGWEtrRHBkYllqbTBLUGhWQXlrVkxtY0pTVlFoejZHamdtRElzR3h3SEJESjc5Q0JCQVAtNHNHM1Uxa05WOXBhekZMUzV6SE1XUUEzTU9WbGZPR01BeUhScU5sOG9WRm44dXZQU0RB?oc=5
RY.TO,2018-03-08,Former FBI Special Agent to visit the Channel Islands,channeleye.media,https://news.google.com/rss/articles/CBMihgFBVV95cUxQUmVxRnF5THFsVTFEcUtCZlQtUUZrVlB0MFVlV2JQbmhHUnpQT1pKU2tzYlgwdU40Rlc5ZnVPR3pIUlRqVHhfZ2JUX09WajNtczFMUGdnV2RQZVRqY1p0M0VteDl2dlE4cWJmeEJoSGNYVTB4WU8xS0ZHdHJhMWlINm9Ra3kzZw?oc=5
RY.TO,2018-03-09,Canadian dollar notches 1-week high as jobs rise,Profit by Pakistan Today,https://news.google.com/rss/articles/CBMimwFBVV95cUxNLW1KVGgzb2s0XzctZmtwaG01Y0NEOVZCbU1yNHJURmFkQnl0TEdDVk5zeTdfa2YtNXNXV1RKNjlXSHA4dXNFSENoSjVfdGZrWl9seHNEUXJDRHN5ZlByOWRBUEk3Q184djlXc3R5aUQwQWNyYkxmbWhaU0VyQ1FzRkFfbTRWdWUxbldIT3JDbF95VFZDYlJweDVCcw?oc=5
RY.TO,2018-03-12,"Canada's economy expected to slow in 2018, amid looming interest rates hikes and lower consumer spending",PR Newswire Canada,https://news.google.com/rss/articles/CBMi6wFBVV95cUxQUVA1MFBVcDFsLXdIYWc3eWxwV09ZcEZLZ2Y3QmpKekNTRExFNTFPQW15TjU4cTF4TmlGN3dBbjcxRTRsQ3lBdmFWRmJBb3lSc1dlb21BNHVnLWU0NTVJQklGVXk3NFFOcnBtMlczeDB5aW42Rjd4LUpVUVp6VVBuNWZobGxwMU9sRzB1Zms3aWV1VU41Q1prQ25SbWdvZEdyRC04d0I5QndiSzJZTzhObU1zd1N1UGRQOGFNblpGNnJSNDNKaHBHYWtPSFRLQ0kxNTN1d0ozQnY1QXlFTEdub05Fd1NwNVZqOXA0?oc=5
RY.TO,2018-03-15,Element Fleet shares tumble again amid recovery plan,The Globe and Mail,https://news.google.com/rss/articles/CBMitAFBVV95cUxQRm5memhNT2hLa2F6MHFaZkRWcTZXV1R0cDNrTFRoaGV2aXhpcnBvQWRLTTkyZWlLOVhCVjdURXlMUkwtWUU3TVZsYTVIU19vNHhqR3pPSTlGdEdvS0VOU0RkZ00zMDRjTDJIRDllenhEc2V2Yk1QeTZCM0lQeWk2WFJISDBYTzFaUmJydjBnelVFeW5uRUpQLWFYM0wwdS13QlFJLTY2ckF3UzFmR1RVR3A3X1Q?oc=5
RY.TO,2018-03-16,"Complaints about Canadian banks increased 28% last year, ombudsman says",CBC,https://news.google.com/rss/articles/CBMidEFVX3lxTE9mOUFPTGM4M1FlM2FXVXBoT1ktU211LWFoekJ5ZHdKVENRNVJVZjFDbUNmVFAwRC02VWd0bWljRHlwc3ExaGRaTE1TdlVZOG9SZEI3NTJETTYzRUhtN1d4N2xoMmREX0dsTWdYQnl2UnZoVWVs?oc=5
RY.TO,2018-03-19,Bank of Canada unveils Viola Desmond $10 note,coinworld.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxQVUQzOW9BbVlWd0FSb3lWYUEzTEFuQkxaSUpFZmtzU1pxczFyMFRBWE8zR1h3YWYtT2VNaFRCYk1EYnh2WTVfTWI1Mm53QW1yZVB1NU5RTGlpcnppZTBJSF9RUDBndmI1djZWSTAwLVJxbUdzaDItTEhkdldYZjBrZHRGYzVYT0ZLNksyejZkT0VNVk9DRG5XemFHUzhsWUNQ?oc=5
RY.TO,2018-03-23,The Acasta disaster: How a SPAC went splat,The Globe and Mail,https://news.google.com/rss/articles/CBMirgFBVV95cUxPc3RRMGF5anlwSjE3OEVtQjJ4RGRXWlQ1TzZqVzRybmluekU3TmxKRmZ1aW5VVW82WHRTSnR3WjF6QWlCQVlsZVZrQkxGeWlCYmFHRFM4NEpialJEdFVNS3lOQmFvNFhpek43TTJPUXpqd0hRX1gyYVJ4eEhpa2NLNjQ4Rm5yUXFubzdJVHR6RFg4R0lKbENSLTc3Nm8xeDhLYlJSUnFrQ2NYcG9rT1E?oc=5
