ticker,date,title,summary,url
SU.TO,2018-01-12,Six slick ways to play oil,AJ Bell,https://news.google.com/rss/articles/CBMia0FVX3lxTFB2M3BTY0VOZ0lzenJMN1ZBRHVvQ09NMWlMLWF3UjdXTFZ6OWJtTDZ6dkV2RGxUeTIyaU5GM01tX1dBTjFqcXBzWnR6RHFub05qaVFzdEUxNHgyX2RJQVZYRkw0dWtuWURHZ3Vn?oc=5
SU.TO,2018-01-29,Suncor Energy Switches on Production at Fort Hills,Oil & Gas 360,https://news.google.com/rss/articles/CBMif0FVX3lxTE1BTm1FR0ZKWFcxVGlLT2xMNXEybUtTdmZScFdWV3VLRXlCSUl1TkJmZjVfUW1mSFFpT2pQSkt1UFd5T1RhcmxoVVhxWFdweFVjQm5mcTFEVGlrUFBqYndRMDhjQWR6NGk2RDlqbjh1S2Q0OWVOREtlUFVvejBWcUU?oc=5
SU.TO,2018-01-30,How TD helped Canadian Natural pull off blockbuster purchase of Shell oilsands' assets,Financial Post,https://news.google.com/rss/articles/CBMixAFBVV95cUxPSDdISXVZbDI4SHBfTTJjckE0a3lXV0hLTmp4WV82NmtKR2VvM1RuNXd3OTV0ZG0wYkozM0t1cGhaTUpqWjV0THNHdDlyWllKZmQybjNCdnpmY1JnMTVoc1ZZX2doQXBmcm1PY2wyM1p2eHFUeldUX0g1SVdYZW1qVlNCUHZUay0wM3NmS3RPQkFKWXo5b3JhUWhxTFVONWZuTm5Ib2tKdlNMZG5QaHlhQlBoZm9oSW5RMTg3bGozNHpCSVVr?oc=5
SU.TO,2018-02-05,TSX slips to four-and-a-half-month low as global selloff weighs,Yahoo,https://news.google.com/rss/articles/CBMilwFBVV95cUxQRjVQS2ktY29tSlk1RW0yay1DRzJrMEpBUnB4NW1fOC1oU0VwRDZ1Z2d5VldNLXRwT1lRZVA1SmRTWm5VazZCS0E5Z1hNRkEweldUNzRaamNlYWFzRGZwa19LVldkYU5zR0FuZ3haMjFINWg0N21TT05scXpUQTJTMzI4VHpYT05EdVVFWFBlV3hzeWY5MlFR?oc=5
SU.TO,2018-02-09,Technical Analysis of Suncor Energy Inc. (TSX:SU),TradingView,https://news.google.com/rss/articles/CBMiZEFVX3lxTFBoR1BBYUtkTnE0V0RKckFWeXpvdHU0S09xME1yZktvdDRFSkJSS2RXWHpJd3FsYThrZVE0S1g3Y2llTkNCNjZ5eF9SQkZlSWhad0RLOTNYMkd3ZzFfVE81bFE4bnY?oc=5
SU.TO,2018-02-12,Suncor Energy acquires additional interest in Syncrude and interest in Norway’s Fenja field,GlobeNewswire,https://news.google.com/rss/articles/CBMi9gFBVV95cUxPRDFrMnhxZW9wNVhndXZ3MFBYcnZOY0RCdGZTcXFTWExnUmlmMDZqUlBBQ253NGhZbWd0SkNvYi01RjMyandDN0gzWGJiUHctTXExdE0tcnZZUGZJWTc3VDBaTUNSSk50U19DbGtoWExtRmg3MmVTa1dLWnlIaXpnNnRVdHYyQzhFUGg4NElsUV9BVDR1T2c3M0dWdkF6TmhUdFNjaUY5eXNpU0ZKRzBmTkZ5bXNObXBIWWtmcVBfMnRBb0QxWm1rMV9qcVo3MXhDTTdxOXM4TkxsQnNzR3hSY0hoMWV5VThLaDNrUkdrbzc2d3poWWc?oc=5
SU.TO,2018-04-18,"Climate Lawsuits, Once Limited to the Coasts, Jump Inland (Published 2018)",The New York Times,https://news.google.com/rss/articles/CBMihAFBVV95cUxOaTdUSTZIVkw2a2JlVzJBeXBHd0FtOVFMdjZLa3gyMHk0aVJaTHBaQWtwMHBqanRvclFsSjN2TTk5aGtoYjBuNVZ0Sk9fMDZjWUh4djhST3p3cFQxcU83bWpZcm5NTVQ3ZWNKanBoM3hNM0h4UnNoN3pXakpGWTBmNzdlNEQ?oc=5
SU.TO,2018-04-27,Toronto Stock Exchange shuts down early on Friday after widespread technical issues,CNBC,https://news.google.com/rss/articles/CBMiowFBVV95cUxNQWhNS0dYYmVodzFCY1B5eWg4UkVmeVdiMGxuOF85ZmZkbmJUaTk2NmRRUFhFT2x6WENSWGVNZ3pYXzdGbmFaNVI2VGRYUHoyR01xUlBBcm15Y3VfOXBDbDNhZU9jU3V0RHlhdGhjbU9zYWxNUDdlcy1DbWNMSkdQNHhCQk1vbWVzX0c2R3ZrU1VDMVlQcGswVGNiY1BoM2RnTHEw0gGoAUFVX3lxTFA5MElzNzlGRHZzYzFGTFRJQ3NhZnQwMnJNSDlJWjFUVXVhd29WRUtWLWRzMGF0TXgzQnJkdk10OFN0WXVRMERQczdWQW9QVmt2OGRzdC1YcEQwbG5HX2ZBX2NNTlpoZEdldW5FSG9xcVRfZXlfbVBrZ0E3ZlNSOURhZEh0YW5BT0FoR0J1aVhFUW90VUtyQzA0RGFCaTRGZmpsYVB0UklTZg?oc=5
SU.TO,2018-05-02,Exxon or Chevron? This analyst says there’s one stock to pick,MarketWatch,https://news.google.com/rss/articles/CBMipwFBVV95cUxNaFJKanphOW9jNmc4bXk3N3VuTk5icE1sX2V2dzNmN0ZobHpiNFNCdEt3TWljc3FiajNVWmRHcWtpRHVmQXBlaW5LQ2ZCdXpGcWVMYjg4a1FSNmsxU2pFODJLM1dIWjZXQkp1SzZBOE5tLTlham90eDlhZFlzY1dHQWQyWE5XblVCMnZjNHJxZm9PXzdlYjZwaGhSTzZVSGJxMUFnVkplQQ?oc=5
SU.TO,2018-05-14,Why Energy Stocks Usually Rise With Interest Rates,U.S. News Money,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPckVacnFNWi11dlczeHIya2VhSGM4cmxWSURSN2N0WFBMUW9sSzJFcE1KRUJyQlRFV0Zrb1EyQ1dzMGRhTUoxNE1PTmtqUVNLTlZyOGx1M2wtcGd3RkpyNS1YcHNXbE9DT2p6NEUwbmllazc5R3RoNG43V2wtSGJOdzlDb2h5djllc25GcGpqSUlZMlJ3TGdfdU5qNm92VEdXUi1xbzdUb09SLWs5UkUxZWR6SlNWOGlzNE5kUlRxY2Q?oc=5
SU.TO,2018-06-04,Is there an upside for investors in Ottawa’s takeover of Trans Mountain?,Macleans.ca,https://news.google.com/rss/articles/CBMirAFBVV95cUxPd3RqVW5mOGJ4SzZTMmV5MmxJNmhOOE92b0dYWmZ0QldKcnVTcE5HbkZtcUE1UXFkQmd2U1NYUjZVQUhOUmpkbS1xb2RiWUU4REoyQ1dwYkR1ak5oLXFWMGUzdE9zdzBjQlo0bThlOHhTTWZLY1J6Q3hocDljZkw4TTFhUHJTdkJNTUdNUGZ6ZGM5TXRBNURRQ09wcVJRV3Q0UzRPWUZFeHdLbjdK?oc=5
SU.TO,2018-06-14,Should You Buy Enercare Inc. (TSX:ECI) for a 5.5% Dividend Yield?,Yahoo! Finance Canada,https://news.google.com/rss/articles/CBMifkFVX3lxTE85Zi0wMDBJMnZKbEFwZF9VOVlZaHdLUVdoakJ5UGpPNGRjY01jaFdBcVZQZEw5NjV6Vm5GckxFeDF1TDhicVFYdm5DUWlxc3ZKdnVIck1icy1teVppV0pvWDdiZm1ObGVLRnJ3Y2k4WDBRY0M4bERlcDhHOENhQQ?oc=5
SU.TO,2018-06-21,"F&G Annuities & Life, Inc. (FG) Stock Major Holders",Yahoo! Finance Canada,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5tYUoyZjJuRHYzbjlnYzd1eTBmODl6QjZGQ1Zhb1RGdHFESDZGU1B3b1VsRDkxY1kxSzY5dmdqWmVYVVNRWjNOYjVETDNBLWhxNnNtZ2ZLSlAtZw?oc=5
SU.TO,2018-06-23,Kanesatake entrepreneur sets sights on Indigenous cannabis empire,Montreal Gazette,https://news.google.com/rss/articles/CBMioAFBVV95cUxNLWV5QzdCaDBkdUJVS0NpOHVPOF9SYW5KUVIyOElZWW55anBCbnJlcE9WczUtZzZwQ3NWYlJ2Q2t4ZmgtTHdMbWFtUkREem9aa0RaWVpFblR6WURHZTQxZVZfUGM5cTdYLW9kUHlhTXJ4akU5V3hfaFlaSWh4Q0l5bGdtR0VnSFpuOTJ5RDY3N0xseldDdGVZTC15bEVmSkYx?oc=5
SU.TO,2018-06-25,Syncrude outage adds to concerns over global oil deficit,The Globe and Mail,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQdkdsZmJFMlJEUlBpelB0SVZBcDhnQ184ZGRUNWRON3hkN1FpeC1BTGRDR3pIMXRBLTlrdTQ0czlaLWxKUWxiRl9CRE9WMU16bGpSZ0QwY0h0dU5feUtVZUVIQk5uZ3lpcm42OGwweDg1M0dieGlQUklSWkVoTVRrc0lBb3FDVDA3empjQzBBX19jQUhFS2RIbWJsVkFZRGdMRHZMV0N6YUktdw?oc=5
SU.TO,2018-06-26,"Why the Brent, WTI oil-price spread has narrowed",MarketWatch,https://news.google.com/rss/articles/CBMilwFBVV95cUxNYjNaYXZVOVlFZ04wbks0SV9UeEVnbmZKVllUOUFMblVDUjlGR1R5WGhBLWxkeGNLUWt3bGx2TkpfLVVDbUNJUUlZcENmamNta0d3Q0ZjU2hVdVgwLWhiVmlzbmdmYkxUN1pDM3c0d1NGWEh6WDM0bzNvQlgySDNLcUNwZUVkbm9HS0ttS3lxNm9Uc0ZwaFc0?oc=5
