ticker,date,title,summary,url
TCOM,2018-01-01,The 18 Best Hidden Gems In Florence Even Locals Don’t Know About,Culture Trip,https://news.google.com/rss/articles/CBMipgFBVV95cUxOUkhwUUxudGcwcDFFRDRJZVRoZEZ4aldDZXdtZFY2Skc4N0lLU2dXOUVtcy1OdGVtYjN6dktUMkRNdFlndWhaYjBIckJUOW1ydThVUklfMXdpVmRlM3R6c0xUbGpTV0VtbXNXMGw3NUxQbUhqeWlQTVVpcGM5NHE2QThXcDl5NjJndGxnVFBZZjU2dEtyS3FhUkstWEFZNEt6U2tudkFn?oc=5
TCOM,2018-01-03,"The Best Restaurants On Lake Balaton, Hungary",Culture Trip,https://news.google.com/rss/articles/CBMimwFBVV95cUxPREV2bUwxTUp6QXgzblNUenoyYlR0RWFJMzN0WHdMTjdQYTVITTJBNWxQczF3RE9lUXEyTTJ0OE9VV1pqTmlrbjBTY1NOdklYdWZJOG1qS2hLZUxha1NYZHdrV2VIcUlPQmxyZmZqYVVKcU9mWVlCZFJtdl9vc0NjYkZkMXhZTld5dzVsU2FDQjNzZU9Fd3VFNEl3bw?oc=5
TCOM,2018-01-03,10 Best Flea Markets And Other Markets In Marbella,Culture Trip,https://news.google.com/rss/articles/CBMirgFBVV95cUxOWGR6Ui1zMkJXSGdjTzEwTDAybTk1YkRHcHVGcUdRYmIwVUwydEFJOEFiNlZ2UzhzbXhORjlGMHR6VzluZEhrNFFBVDVzX1NXN0xuZnBpbGhMYmR4Z3ZPeFVZODZqZnZJN05IUmxuRFhmOFdhaWdsMHV3YzdMdUZjRklCTjF6MDU4VWZBODJZTU8wczVQVDFyeXlyc2tNdmN4M2xSQzZUbXdJVVVuT2c?oc=5
TCOM,2018-01-03,11 Local Brands All Vietnamese People Love,Culture Trip,https://news.google.com/rss/articles/CBMilgFBVV95cUxQc0ZaVVNNc0kwNER2MURmakEzME5kcktWVk1tZ1lWV2prVWsyMEl4QzB5Vm9UenhhZ0ZyMVpJWDl1STJpcVpOQ0UwYjZlVlYwTWRxNTBXR2ZBQ3FIZDhOZFNZd0FGWm8wZ3VPMHAzaUR0aFdEMVZqVFFqdG9YVGNPMTdGbWhmbkpxWVVZZFlJaF9BMjVKeUE?oc=5
TCOM,2018-01-03,The Best Wellness Retreats In Malta,Culture Trip,https://news.google.com/rss/articles/CBMijAFBVV95cUxNOEhOZjdlZ1RLZElMVFB2UWV3OUQ1LVJKeTNsR0lDaUxNZG1TSllzOGUzUmpBdk9BcW5NTERkWHAwNkNjcEM1dnhfNk1ST0RJa3RGN2pfNkx6c2NvNmNYdnFac2NVM0tTTE1SLXhqWDZWSlpLVHdTbWRLZ0pyS2RBU0RMT241b1NxdWpsTg?oc=5
TCOM,2018-01-04,The Best Things To See And Do In Benidorm During November,Culture Trip,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPdXp6U1RhVWxwUWtGRElNdHF2dzI1c01BV2RCRmJ2cDlkLUV3VEtsOFlDUEpkTmFTMWFmOG1lenlNVlViQ1NpUnpUcG95VnMwQXVkNi03TEdvb0h6UFlERzdMOHdPLXlwUWhKazNxVTRLLVkxSGNheWpVMzhaNGZjTnBPQXptdG9SWmx6ZkdEYS1NS3J4NC10MmtpaFdkS2FhNFMyajVrQUFkUQ?oc=5
TCOM,2018-01-04,"The Best Places To Eat On Ocean Drive, Miami",Culture Trip,https://news.google.com/rss/articles/CBMiqAFBVV95cUxONnVON1l3SlZ3dGdZaURnYkIyQ2o0cFU4WGdSU3RKemdENkc2b2pGRXFwVndfMUV5d3U2WVRGNlB1QWxfUFhSZzh2Nk1Nc1ZxMTlVNXZlSEV4NS1VOXQ2OFJYMnZJTjJ4STRYZTZtZlpxb2RLSnB4NTVmb3l2V1FrVE1TMG9xb09ObndwdF9UYmlqbUZWdlo4QUJWcFhyNUhWSmREZjU0Tlg?oc=5
TCOM,2018-01-05,"The 10 Best Things To See And Do In Dongcheng, Beijing",Culture Trip,https://news.google.com/rss/articles/CBMirAFBVV95cUxPNG5nLW9PTDRIdVdtWmdxTTRSZWl4ekZ4eDUtQ1VkUnRVZGlvZFM1VmlVOXRCS0NnYnE5djZRenRvUTVTSWZudVc2U3FuTDNWV0hYV0dwNHMyVkRGYTdXQmxqS3pxeUpYeEtDSVZfNjRzR2w0M2dzZkZ0U1J2bFVmNkdwcXAxbzlzN282dnVhUWJlSV9id0MwbkVuODhEczZ0dWFwLTF6R0ZMcE0x?oc=5
TCOM,2018-01-05,20 Must-Visit Attractions In Malta,Culture Trip,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPZUhtcndmUnVDV1NaNkwyYm1nQnlsMHZqQV9SUV9IcmRKR0tJeWFqUFBTR0hqcFJ2WTdHSjNzWUpoQmhHdk5nZmY0bkJUZ2l5NjZqNFZLMnNvWFlCamg0REI3djJVSEVGT0o3SE1XQTEwSWZRNEM3TWJIMUFnWGhzN1Npa3VvOTI0bGcw?oc=5
TCOM,2018-01-05,"Where To Buy Communist Propaganda In Ho Chi Minh City, Vietnam",Culture Trip,https://news.google.com/rss/articles/CBMirwFBVV95cUxPdmNpYUpublBxTHFjNHBKRy1JT0lTZlZmYUhNM0Y2Zlk0RWtGVXlzUWtXOGE1a3U2ZGJfd2lRZXRpVzUxN2w5OF9IaUVxdHZrTGNYdmM2WURiTVJtSWtFQm1ZS0JIWDVad2F0MGQ4b25EaGwzbkJNb2hmeGo0VGdHTXQzdzJaSEVaMV9XLWJhTERuMXVGTjN0R0JMOFYzVmxIUE5NNVhNajBoVFNBQlZR?oc=5
