ticker,date,title,summary,url
TD.TO,2018-01-08,TD sees $400-million first-quarter hit on U.S. tax changes,The Globe and Mail,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPU3l3YVp0ZDFMZGNXTTd2M3pUNTQxUy0wUE0zVkZGeVR3MmRvcmZjd1NJTmN1YWtKUm1uTjlLM3ZWMGFabVZ5TjhwZDFxNzZqbmhBdWlaMGgxZTNwZ19HdFVJbjczcTl4RElSVlV5TFBiZDJYRm52YzdqWWZjcWtfN2w0Z3NDQllxaVBCT2I2QXMyajZpb0xQTVphcmRFUFZPMmQtNUtUdGFLdG0zS1E5Z1diMXg3QzY5RUZvZG9sbEs?oc=5
TD.TO,2018-01-08,TD Securities hired a veteran DCM banker from Credit Suisse in NYC,eFinancialCareers,https://news.google.com/rss/articles/CBMipgFBVV95cUxPczdqVlBvcjR1WE5KUE1YUVhpLWJZc2JGWnhJcnRtdDNIU0xUTTI0M3lIN3hLTGRIcDltWHVyd2VDcHZfOWVuTk1xdFpZaGo0Tklyd2RGVS0wQWxhODlUZ21NZ1VfV1pXWHNxMmdTNGpKUmJfOFc2eWpIOUFXdGN4WHZVaHZPcUZ4MUNHTVliX21wQTlscmMyeXU2TFNqQ0hKUzZfRUdR?oc=5
TD.TO,2018-01-08,Newark Man Pleads Guilty to Robbing Downtown Newark TD Bank,RLS Media,https://news.google.com/rss/articles/CBMiS0FVX3lxTFBZa3drXy1UMUYxMEFtQm9iQzlqa3hqbERPbmRCTTFuQ2FtN19RWXhha1ZWUUpqODdiMVRoRnNzSEkzdFJ1Ql9TQUMxQQ?oc=5
TD.TO,2018-01-09,TD Bank Acquires Toronto-Based AI Startup Layer 6,WSJ,https://news.google.com/rss/articles/CBMikwFBVV95cUxORVY0RXROVUFta1d2ZnlLam1wXzREVzBwdUZqX19SZWhRTDJUSjNWOXlsMUtOV29XX1dJMUR4WmF2dHVTbkV2dU1hZkNiRXlQMlhNZ0ZUSjlKeWllYWNuT2E0VU5Damc0VEk4aHYxY2ZGQUFqMlhjZ2pzUmFIa0VTUWpUWHhQcUlXZDlxS212MzdrbGM?oc=5
TD.TO,2018-01-10,"TD Bank names head of mortgage, national sales director",HousingWire,https://news.google.com/rss/articles/CBMinwFBVV95cUxON0hBM21NdzZqS2hMOUh2Sktvd1ItampnTjlhc2FkWEF2NVZJUnBTa3ZmSGFjaDJxRThfWnJaWl9OSnZCNlhOUU0xa3YyQTl2T1NKNGR0b2U3VVdTX2tMYzkzQzVoeGhlOWRVMW5iekoxdVRaTG5aaGx3ZmltWFA1WmtIR1MycDcwOG1xMDUxWlhhM3RuMi10bTZ6VmxVTGs?oc=5
TD.TO,2018-01-10,TD Bank buys Toronto AI outfit Layer 6,Finextra Research,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOOWNaTm9MSUpNMmJ0QVY3QnpwLW5WZ3N6NHYyRnVudlhZZGx4aFZKV29OY0VZR2VuU3hScFhvUmNJVmNJMmxFaGg0aG5ENHFTa0w5N1loTmE1c3B2UlFVSVhPbkw5T0lwaWZ1RXZ5ZEVVRnBfY2t0ellWdnNSWDdRbEFGVHlLcE5a?oc=5
TD.TO,2018-01-10,TD Bank embraces AI future with purchase of startup built by U of T alumni,University of Toronto,https://news.google.com/rss/articles/CBMikwFBVV95cUxOelg0dWctUFkyczVuX2drWm8wVmdSRW1UeGZiekE5MFNvWlNnRU1kVno5TlM5cXdPWUdram9sYXRnZE10Rkxwc0hoeDBNYkdxSngwRlZMSmpEVUpVbGJTM0tnTVpBTXdXOTZhMGNzQ0taT2FueEQyd2JlaGdfWlJzUHJyeVhFd2JMUU1zN0w1ZndkSWc?oc=5
TD.TO,2018-01-10,TD Bank acquires Toronto artificial intelligence startup Layer 6 AI,Ottawa Business Journal,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNcElBVGpGTUZSaHdhdDlXeFpPN2VzUVNYOE5Bbm5JQVJoSEVSR0lqQkoxeUlvX0FmVjhBM3JVQmJ1d1pZeXMzblA4dTFMRGMzT1ZSeHA0RlQxTGM0MHBXX1ZoMjM1eWRsTmZqMlNEOFRYRk1sQm14M1VYekh6elRJUzFzVFIyMWZucGE4?oc=5
TD.TO,2018-01-10,Authorities Looking For Man Who Held Up TD Bank In Eatontown,Patch,https://news.google.com/rss/articles/CBMilAFBVV95cUxQaFowcFpYc0VKT091TnFaS0RrMkUtVWh5djZ0SEJUUHRiNHE0aW1wLU9FdWc3dGxiRGstc0R6cGF0SmljM0JNdmZrLTJobG1qU0JoMUtUcVJKMEFaM3ZwVXRGdEhaUnB3MThlYkJhbnZMSEl2MENGa0JzRGp1aUJaZm1KOTc4aFlBbGI1VDFRWXczdkJY?oc=5
TD.TO,2018-01-10,ID needed for man who robbed TD Bank in Eatontown,Asbury Park Press,https://news.google.com/rss/articles/CBMitwFBVV95cUxPc01TWlV6dEFiQUwyUmVfeEtuUFFYRnJsR29ZYkxkLUNWNmZzVEZ6Zk50eVlCQWlTVmN0eE9vS3VCbjd0RVEwb0xQU243NjhoN1Y5U3otRkhPcjVVR3NmZmNmemc2YUJDZlZDSGo3dDZOWkFRNG9KT1o1emRuWDRzdTI3UVp6TzNyTVlpY0hDYnVJeDkyZFIxcHNxb0dIRzFUSGlRYnVZdnluTF9Bc3N5ZlUxWjB4a00?oc=5
TD.TO,2018-01-18,Former TD Bank CEO to be Ontario’s top pot salesman,iPolitics,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPLU1ZV0sybl84ZXpPcG1LUG9zbUI0TGxtNzk4eUZGVWxHYUpEWWJHYk5BMktkNzFhR3pMaU9zVkJCNGItN0xKcTRwRkVHd1VFdktGOXBQaEczQUNQdlBPR0hwbU93cFQ4V2ZYOFRZVFhWcE9wbC02enFZTEF2YkJUc1VBZE1pMGFX?oc=5
TD.TO,2018-01-20,"Rocky Point man arrested in TD Bank robbery, Suffolk cops say",Newsday,https://news.google.com/rss/articles/CBMihgFBVV95cUxPZTRYbHUyX3JTQXdpMEprTlNaRWNDXzkxVUYwaGo4SVI5UXRiUU1QZkoxWlZKZ2M5eTZiMmpLUmZ0eE5QOEd5Z0puNVZUQUdub0ZqNU43OWswRnhaYnlEbXdaaDNvWlNRWjAxdTFGRzE2NTN4ckRkQWt6dzhld0JKYVNrWVBndw?oc=5
TD.TO,2018-01-30,How TD helped Canadian Natural pull off blockbuster purchase of Shell oilsands' assets,Financial Post,https://news.google.com/rss/articles/CBMixAFBVV95cUxPSDdISXVZbDI4SHBfTTJjckE0a3lXV0hLTmp4WV82NmtKR2VvM1RuNXd3OTV0ZG0wYkozM0t1cGhaTUpqWjV0THNHdDlyWllKZmQybjNCdnpmY1JnMTVoc1ZZX2doQXBmcm1PY2wyM1p2eHFUeldUX0g1SVdYZW1qVlNCUHZUay0wM3NmS3RPQkFKWXo5b3JhUWhxTFVONWZuTm5Ib2tKdlNMZG5QaHlhQlBoZm9oSW5RMTg3bGozNHpCSVVr?oc=5
