ticker,date,title,summary,url
XOM,2018-01-07,"The Rockefellers vs. Exxon, the Company That Made Them the Rockefellers",New York Magazine,https://news.google.com/rss/articles/CBMiekFVX3lxTE9idVdEUUlmUU1hTlZoQUxzZFRvUXZWMkpOVk4xVjlyenBycW1YZzBPY01RNjBId0hKT2s4bkFuOWRMbVdBdzNQNDVvSmlwQjRHNlp5djhxM3FMVUlBQWxvQzJVakpnNlkwM2dHSThoZnFuQUc0OVBlYm5n?oc=5
XOM,2018-01-08,Exxon Mobil Corporation Stock Will Rise to New Record Highs,InvestorPlace,https://news.google.com/rss/articles/CBMiaEFVX3lxTE8tZm1YWk8zUVZqY2ZiREtBTVlyV1ZLNUdVNlRzS3RORE11Um5VaFlVQWxsZEpUNmdkVGFwVGRWVmhQUmIwUG5TUUg3WEVsdmh4TWdaLTJYMnIzaVN2WlAyRHRGVEg3YlY4?oc=5
XOM,2018-01-10,"Exxon Mobil Unit Buys More Intuitive Surgical, EQT",Barron's,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQQUJram43WmZQeHdMMXoxcGpUV3A4NjFEb20yU05yZDJuSWhDVl9GOHRoTEtJU2IwalBqRUlTZ3QzMlZZUzlReEhuNzMxUEM2cHc4NjhLOGpNZUlFSzBnUTk3cWNyN3h5ci1xUVdSZldiT25lM1RMRUtZVU05c3VPdDM2RHVETmc0?oc=5
XOM,2018-01-12,Six slick ways to play oil,AJ Bell,https://news.google.com/rss/articles/CBMia0FVX3lxTFB2M3BTY0VOZ0lzenJMN1ZBRHVvQ09NMWlMLWF3UjdXTFZ6OWJtTDZ6dkV2RGxUeTIyaU5GM01tX1dBTjFqcXBzWnR6RHFub05qaVFzdEUxNHgyX2RJQVZYRkw0dWtuWURHZ3Vn?oc=5
XOM,2018-01-26,"Big week for markets up next, with Fed meeting, earnings tsunami and Trump State of the Union address",CNBC,https://news.google.com/rss/articles/CBMitwFBVV95cUxNRXU3bkc0U2NSVVpKZktFU08wYldPQkNiSmxnOXBXTUlIOUI1V0FpaGVyS01ycC1uYlJvZ3ZpSnllWHd3cFl6dnlXbUhvQnZYa3lvLXpLaXcxR3IzNFM0R1ZHU2Q3QWRvOGJEeUFjYjAyVFBmUU5EWHdMSjAxNnVBT3FKM1NYdzBvRmpNQm9mcXBOWkVOOU9qSlBtc3hWamVRSVBGVVo0Q2JsLXhCSU1DWFREZWtrRms?oc=5
XOM,2018-01-31,Technical Analysis of ExxonMobil Holdings Corporation (NYSE:XOM),TradingView,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5SWjlVQi1mekplMk5CeU84UlBUM21oaG5FQ2xwM0t3Z1VfeWlIVWd1RHdNLUw4Yk1LdDJvYm5EemNZZy1uR2FlUmRDaGpqYng1OTBrV0xTMHdzMXhyZFB2NmN4REVhdGc?oc=5
XOM,2018-02-01,"Amid low morale, highest-ranked career official at State to step down",Politico,https://news.google.com/rss/articles/CBMijwFBVV95cUxOVkVaMloteE1pRENURVV1ZGQyMUdnQ1dyVVhxSFZzRXN2bmZPVERvUFBnOFZUSEVaa0dnV1V5OU54dFFMT1FXNjlFNGg3X25ZRlVTS3NwUEMySjJsZHpCOGJWYkFlNGZnY3Z6ZUVIbDI4MjBfM0EtU3RyR1pmallNR1VpWFhUQUUzSDFYQlBKOA?oc=5
XOM,2018-02-02,ExxonMobil Earns $19.7 Billion in 2017; $8.4 Billion in Fourth Quarter,Exxon Mobil Corporation,https://news.google.com/rss/articles/CBMiygFBVV95cUxNalJHaEFoNHBiRTZWY3g5TXVwSklBVmNYUm9NdExuSjF6MGtDeGtqMnh1Z1NhcUc2MUxBNGRMcmhvS1B6NEF6SFoySDk2MHE2UjV0REYtRE1kaVpiWGxUVmwxaFZueV9hQVZ6R2dpR2JzbzU1amluUFpENUZUSlpmY241VTlMMWJiUGMwOUx4ckk4MmFLQm5RaFUycHNpY0dVNlhfN3JGZUUyRnRfSnI4YXV6cEEzZnZMV3FZcVZLenR4RlY5WGdoTmR3?oc=5
XOM,2018-02-02,"S&P 500, Dow suffer biggest weekly decline in more than 2 years",MarketWatch,https://news.google.com/rss/articles/CBMinAFBVV95cUxPaFpiczduSGZlNHNLdjMxVFVVT21LQzI2bXY4TGFsbGNzSENvNElSRHpSUUdEWGlVMkdWck14bEptaFYtYXlLU3V4Rm81bzF0cFJ4R1dqcHg0YWVDbWpEMkVUbFowOTlyemVVSmJXTFU2bFpSVHJzWl9kcmhkOFQtcDZhMXAyUUlIU2RxWGktcy02U01oUldJTXY3aFA?oc=5
XOM,2018-02-05,P&G and these other Dow stocks go down the least when the market is in the grips of a sell-off,CNBC,https://news.google.com/rss/articles/CBMinwFBVV95cUxORG5UNTQtR3VKYzA2Nk40SzNtaDRpZm0yQTVhdXlheFNEcHhkdGJkZEZfNDlONWsyeTlFUEJZZGZGaFE1R0tULVdzYTZnN0dLOTFuTWdFMTk0dGptTWIzRTZfWkNROVNRTGlUd0VOVDFwYXM0ejFPOUE2Xzg0NURKMkxPdEhndUw3dUo2b01IaWkwd0xsd0prV2x6bXExb3PSAaQBQVVfeXFMT0lDMlNJMFc3REZXd2tQaUVETDRGQ3V5Z3A5cnYtUVZaUlVRcEI1elVQZHlOWG0xb3VzdHdlUXR0VUl6VVlteEdTUGF5Vk01SW82WkJ5Qkk5dzZSN0JxUkFVcWhGOHJsckRGUGlkN2EzdE9PUERqbXJfR2hoZDFhNkpzUVBfbVhGVWU3UDdrREMzSDBlVFhOYUEzMTVGTTFpODlfNF8?oc=5
