ticker,date,title,summary,url
YUMC,2018-05-02,Pizza Hut Needs More Than a Slice of Help From KFC in China,WSJ,https://news.google.com/rss/articles/CBMioAFBVV95cUxOaTB2YlF6X2piV1g0TmROdkk0Wlk1aklRTGRpM2dRYVM4SFQtWlhHX05PYWpzV2ZMaEMzVVdqZTQyRUJqWFprT3VWNm9MWDl4bkgyaTkyd294WVdWaV9kaTRhb0lianhNTklXVXdjLUV1c3d6ZXdlZ0wxbnQzT2VzYXlaSTdGaGFjOVlFS0p3REhHc1JoR0h4cllIaUNFeUZ1?oc=5
YUMC,2018-07-26,Yum China soars more than 16% after report Hillhouse Capital wants to buy fast-food company,CNBC,https://news.google.com/rss/articles/CBMiswFBVV95cUxORnBnUDRoYUdUUFVKRWpwM3E5QnV4RnN3QVVzMFlXUGxfQVMzSlYtRXFKMzFRZ1VzcW8wYllsZFpQSElRaGUtdzdlTzJVeVRibEVvMmxGUlJLMVdNdktrV3RHYkIyM1JHZTBTSDBiaUZvWEdVQk9ZcGYtc19DeFFmYmlWQ3ZyYlJwTGVtQVFDVFZoSUt1Zm9rcUdEN2RVUm5jQjhWdHN4Z0RJZVBoRm8xZUc5RdIBuAFBVV95cUxPSnBqWldkcE1tZkpUdE1SN3RpMEpldmNyRkhCMWRjUFI2ZzdkSjljN0I4TFB6OURsOGpna2cyRmRmaVpRbHRmTUFuS3RZQlhTN2MzYktkUEpfMjdiQ0VKRHpPWENvaUhkY2I2MnkzZ29TN2dTd0UxVHBBSkZQQW1JdmRQX0xydk9SbzZzcXZLSG9PTHlMdm9ZWXpoNnMySjdDZmNub3FLX1pTdi0xRlhBVjFaRHZDYXZ3?oc=5
YUMC,2018-07-26,This fund-management firm gained an edge with 202 on-site company meetings in 1 year,MarketWatch,https://news.google.com/rss/articles/CBMiywFBVV95cUxNM3FMQllWUHRpRlJsamFiYl9WZnhTWGwybDBMeHdnUmItUWJGTkg2ZFR2Y2xNRnBYNHF0MXRTMlZaeGM2a0VCR3lRdWRKU29TTHhuektESk51R2VBMUFwUDhiMjdOSWNYYlRjaFhYek1SX3oxWTVEQThkelMzMS1kbk5ETTM4LUtpUTNqNUt0RjBNaERITnFkczFLNnVSMjBPTXBmYVo0QVJ1S3lFUGxjWVZDLTl2OEtSYXFINzV5TTdnb202R19SSE5WWQ?oc=5
YUMC,2018-07-27,"Hillhouse, KKR Said to Weigh Deal for $14 Billion Yum China",Bloomberg.com,https://news.google.com/rss/articles/CBMisgFBVV95cUxPTUk2Y3RLZDZxWWFqZEl2WWZ3eU91QkJRaVM3Z1N6WUhncmJKOElfNzRER1FFY3FXNVBfUnJ3TE9XQi1MOUdwaTR3M05YWW9oRTgtVnBmU2dvQ0xkSk5ZbVZ1X3ZpQWF6YUpINnhuRVdPZ3prck9KbllxRGhBd3BJcVlTNVR1ZTQweTlMd1phLVBfamMzdWNidk55MS1ySTB1c0pEQVU4UGhXOGdRZEUyOVNn?oc=5
YUMC,2018-08-14,Investment firms explore buyout of fast-food giant Yum China - sources,yahoo.com,https://news.google.com/rss/articles/CBMirgFBVV95cUxPMHczVlpJZ3U3Nm5rY1drck14ZF9pS3FmYzBEQVNtMkNwamdwa1gyemZ5SkhXZGNRZnVTdDE2blZRWFZfVldsZXU4RUpUMnkteGVCQjROalpyMm5hNlhNTDNYREI4OHk0eGY0eHphYUw4amNWSG9PR1FiZ29UZEtOSElyZDNfV3dsUENCMHhaRUhJTjhhRm4xazlsMlI5c3lvd05SUFJLV3RLM0VrTVE?oc=5
YUMC,2018-08-17,Cava Buys Zoe's Kitchen As Restaurant Buyouts Are Still On Menu; Yum China Next?,Investor's Business Daily,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQNlZuT0JDSWZqMGZpVmpZZ1Q4MVdacjlvMDZKenBhRkE1OHJqckJ0QWdrTWlsQ2ZfdUdIdEZ0dGZOdHVOVkJLYjVHQ0lESlBZNkEtbzh4RUtSbngya3JzZzUzYjhhcXU1Y0FJelRsT21HcW1zZXo1XzcxUjNIUTNNYXhHOFM0UjFTNUJB?oc=5
YUMC,2018-08-28,Restaurant operator Yum China rejects $17.6 billion Hillhouse-led offer: sources,reuters.com,https://news.google.com/rss/articles/CBMizgFBVV95cUxOM2UtSTNlczFtVGdJeVhxbDlkQ3dKbFUxdndCeVZ5ZkNDMktxbGJaLWxBMU1WbXhTcWhQSjVnZEhXc2paNE5rakJaMWpPc0lSSDNnZEZ5NlFxdnd1Tm5lZWF4b29YbXlMT0FiR1U0UDRmOWFaa3JNM1gyV0FGdkVBUkF3c1BSbnYyMGtiLTlVNFB6XzFsZG5sMks3Mm1leUowcEdyTElick9ReXZmWTRKZUU3M2ZQYWRzbEs4T1Y1SE9HN0VsbGVNdEpDTGVKUQ?oc=5
YUMC,2018-08-31,This Week’s Movers and Shakers,Caixin Global,https://news.google.com/rss/articles/CBMijAFBVV95cUxOVkw2RjZGREZUZUdxTHFZNHhFaGZ2SE1nUElXVFpybnhwSUtHcFVOcjNmQmN0Y3BoYUtYY1JCUGVzWWU0QmY3NVhHZFhsajczcHpnM3dvNmhSQVhIZ2FrWlFjVGlzNi1IWFNnN2tlU19vaTVYb2pENlgzWXdlWkdrRGxfaGdyY2JvTWZIaw?oc=5
YUMC,2018-09-03,"A Slice of Snails? Sluggish Demand Mires Pizza Hut, KFC in China",WSJ,https://news.google.com/rss/articles/CBMipAFBVV95cUxOM2ZuVV93UjVFNnJpVlZUMVEzWVlfYVVDWFYyb01PdC14VkhUM2tNZ2VVMFlvRFFrYVJpbVNobGpzNHBCVnlwQ3F1Uk9mc21RVWVqMWlTaTZKdFRSYmZOUDRyWFFHbk1OTGZpWTcxVV83dk5LRzR1Y2tTYlk2a0F0QUtZX3JBVEpWTkdJVmJKdFFMNHFqRmVqVDNrWG1YOG5tUlVCQQ?oc=5
YUMC,2018-09-11,China hotpot firm Haidilao tests investor appetite with $1 billion HK IPO,Yahoo News Singapore,https://news.google.com/rss/articles/CBMinAFBVV95cUxNOFdpcEV6OVNFU0FmOEtWUi16Z1hIeHB4ekRXUG84b0FmZzgta09ra3A0Ulo3OFlaVTdSWk1ROTV4ZGV6cjdaaXZZd0czQUZyaVFjUEpxMkdvUEFIVnRmX1lFSWdIaHZ3dUNLYmxKbVNDNzlDRE96bE9QR3VrbmEwVDNzUmR5ZDRDeHZHT3VTaXJaZF9yVHQwRy1ydzk?oc=5
YUMC,2018-09-19,China’s Hillhouse Capital Raises $10.6 Billion for a New Fund,WSJ,https://news.google.com/rss/articles/CBMioAFBVV95cUxNeUU3ZlAxYXF3MjI0VVpUNGw3b2RPdDBGUlVGSmx6b1dTcUh2dlpEVzNWb2o1Y3ZuRnl6WjdzcXVDc0pyQVktRG9oYXF6b0N4YWNOaEt0WWplWTdJRzZqZUw3ZVN0eVZ0RzhOMkZEX2M5Vkk5RG5nUXd3Wmprd3dzMkh5MHpoMi1tZWlURWE1MnFHRGVFMGJNVllCelBibUhx?oc=5
YUMC,2018-11-08,"Starbucks Is Buying the Dip in China, and So Should Investors",fool.com,https://news.google.com/rss/articles/CBMingFBVV95cUxNemlJaFB6QUZqUEt0U0hmakRoOE1PQVJ4NDItWkxNbGdNcHVUTzRmTGI1Um9nTHdfdmNpbUxXZjlNWFZ4ZGRuSmJ6eUdvLVppd19KOUVyYmNNWFRYQlRLV2tHRHhEdVlXSm5sV0JreEZlV05kS1FFSE9ianRVREQza3pTZEd4TmE3VXJsLWtuclduVVpwSjBOelVIVlYxdw?oc=5
YUMC,2018-12-06,CEO of world's largest restaurant company talks chasing growth with e-commerce technology,CNBC,https://news.google.com/rss/articles/CBMimAFBVV95cUxOSWc0TVNvSE0tdVFNcG5Qb2pidHMzOFpKT0ZSMExzMXA0ZTRmWS1SVW5SSVpkQXhRa2NUUWEyNFhGZzJRMElWUmg3QXlxN2tuVWgwcDZJRXNEVnV6T2Z4WndYVzdZWWVHX212ZUd1ZnMtaGxJaDV0NFN5YVdNamVfOUU4T2tIWWhkRl85UVlFVkEtbzVpTGw3ZNIBngFBVV95cUxNMEpUUTVaZzZwSlpFVEJyODhQNTdBZ3RxNjhsX0IzSEdqeTRFb0cyUTVkTlF6ajdJNWRlMF9nUGRxemJlelBWZkxZcnl4R3M0bm5iQkpsVGhES1JTWTRybFk4bHA5Q1NGMXlKOGlZWkZOODU3Y3ZtNTV3YXVac2c5cmtzdl9NZllrbC04bDA5OG5zNnZFekpfV256X2JGZw?oc=5
YUMC,2019-01-28,Yum Brands Opens Search for New CFO,WSJ,https://news.google.com/rss/articles/CBMiggFBVV95cUxNUWdEdkI1SWg5OG5iTWVHbUtDUm52ZnpGT0hFdnRDb3VTSWRTWXNEeTIxUm95X05MRDIxQWZwXzVYMEZQcEtyMTZyTjdjNGUzX0Y1UzlUQjR1S01EOWdObThWazhXWE1mVnViNXJMS0RZSTBjMG5wZXpqaVNxUl9HUUl3?oc=5
YUMC,2019-02-06,Meet The 'Force Of Nature' Propelling Yum China's Sales And Shares,Forbes,https://news.google.com/rss/articles/CBMirgFBVV95cUxPcTJkOFozQXo3a0dGMEd1OFBmWElvaDRCaHpsSGNtWUdiVFhHOWNoMEJlRFNPTmZONzY2dkVmallZVno4UTI1YWI4cDMtSUF4M3lycDVLaTNUYXZRbWV5ekh2c1U1SVM0UzU5eGI0VTRkNmhNVXRyRUNLMWJVWG16R3lvU1VUNVBNMWhqeHFReVp4SzQ3WTFocXFsTUt2RGxxZXVEVWx1VmpCc053a3c?oc=5
YUMC,2019-02-09,Chinese market drives sales growth of US fast food company in 2018,China Daily Global Edition,https://news.google.com/rss/articles/CBMigAFBVV95cUxNX3U5YmZhWE5oN1BXYklRekVFenNkd2xQU2t5azRCbDFHSEVvV1A4aUU4N2wwM2JpSk96Q3lNcW1wNEIyUnpUX0gzS09nUnh4dEk3NTloVmY3eHBRWDV1VkswVUV5dkRPNUZpRG9sdjFuY044VDBBbkt6R3pHVW00Sg?oc=5
